Docket Number,Violation Date,Violation Address,Issuing Department Code,Imposed Fine Detailed
19CP006751,01/22/2019,1055 W 63RD ST,POLICE,$0.00
19CP006751,01/22/2019,1055 W 63RD ST,POLICE,$150.00
19CP006830,01/29/2019,6701 S DAMEN ,POLICE,$500.00
19CP006834,01/23/2019,6701 S DAMEN ,POLICE,$500.00
19CP006835,01/23/2019,6549 S DAMEN ,POLICE,$0.00
19CP006835,01/23/2019,6549 S DAMEN ,POLICE,$500.00
19CP007621,01/27/2019,358 W 74TH ST,POLICE,$500.00
19CP007648,02/02/2019,7247 S DAMEN ,POLICE,$0.00
19CP007770,01/26/2019,6754 S WOLCOTT ,POLICE,$500.00
19CP007772,01/26/2019,6605 S HAMILTON ,POLICE,$500.00
19CP007776,01/27/2019,6500 S HOYNE ,POLICE,$500.00
19CP007778,01/27/2019,1132 W MARQUETTE RD,POLICE,$500.00
19CP007779,01/27/2019,6601 S RACINE ,POLICE,$0.00
19CP007779,01/27/2019,6601 S RACINE ,POLICE,$500.00
19CP007780,01/27/2019,1158 W MARQUETTE RD,POLICE,$500.00
19CP007783,02/01/2019,1937 W 66TH ST,POLICE,$500.00
19CP007970,02/01/2019,671 S DAMEN ,POLICE,$500.00
19CP008697,01/26/2019,6602 S WINCHESTER ST,POLICE,$500.00
19CP009688,02/13/2019,5045 N TRIPP ,POLICE,$0.00
19CP010526,02/13/2019,6303 W GRAND ,POLICE,$90.00
19CP010526,02/13/2019,6303 W GRAND ,POLICE,$150.00
19CP010526,02/13/2019,6303 W GRAND ,POLICE,$500.00
19CP010527,02/13/2019,6021 W GRAND ,POLICE,$150.00
19CP010527,02/13/2019,6021 W GRAND ,POLICE,$500.00
19CP010533,02/13/2019,5743 W GRAND ,POLICE,$150.00
19CP010533,02/13/2019,5743 W GRAND ,POLICE,$500.00
19CP010534,01/01/2001,6011 W GRAND ,POLICE,$0.00
19CP010535,02/13/2019,5925 W GRAND ,POLICE,$0.00
19CP024109,04/20/2019,21 E 119TH ST,POLICE,$0.00
19CP032369,05/24/2019,6259 S ALBANY ,POLICE,$0.00
20CP00166A,02/13/2020,5959 W GRAND AVE,POLICE,$0.00
20CP00166A,02/13/2020,5959 W GRAND AVE,POLICE,$150.00
20CP00167A,02/13/2020,5940 W FULLERTON AVE,POLICE,$0.00
20CP005520,01/24/2020,2139 W 72ND PL,POLICE,$0.00
20CP007989,02/06/2020,6148 S MOODY ,POLICE,$0.00
20CP008001,02/06/2020,5112 S NASHVILLE ,POLICE,$500.00
20CP008002,02/06/2020,5311 S MELVINA ,POLICE,$500.00
20CP008450,02/09/2020,5311 S MELVINA ,POLICE,$0.00
20CP008508,02/10/2020,7419 S HARVARD ,POLICE,$0.00
20CP008508,02/10/2020,7419 S HARVARD ,POLICE,$150.00
20CP012097,02/28/2020,6111 W DICKENS ,POLICE,$0.00
20CP012098,02/28/2020,6117 W DICKENS ,POLICE,$0.00
20CP012099,02/28/2020,6159 W DICKENS ,POLICE,$0.00
20CP012141,02/27/2020,6704 S WOOD ST,POLICE,$0.00
21CP001043,01/17/2021,6001 S KEDZIE ,POLICE,$0.00
21CP002213,02/05/2021,6451 S HONORE ST ,POLICE,$0.00
21CP002214,02/05/2021,6459 S HONORE ST,POLICE,$0.00
21CP002214,02/05/2021,6459 S HONORE ST,POLICE,$50.00
21CP002398,02/12/2021,1850 W MARQUETTE ST,POLICE,$0.00
21CP002398,02/12/2021,1850 W MARQUETTE ST,POLICE,$50.00
22CP000622,01/10/2022,11519 S VINCENNES ,POLICE,$0.00
22CP000767,01/10/2022,1456 W 61ST ST ,POLICE,$0.00
22CP001080,01/16/2022,6135 S VERNON AVE ,POLICE,$0.00
22CP001430,01/23/2022,6345 S ABERDEEN ,POLICE,$0.00
22CP001430,01/23/2022,6345 S ABERDEEN ,POLICE,$150.00
22CP001431,01/23/2022,6350 S ABERDEEN ,POLICE,$150.00
22CP001604,01/29/2022,1049 W MARQUETTE RD,POLICE,$0.00
22CP001691,01/29/2022,6331 S RHODES ,POLICE,$0.00
22CP001810,02/03/2022,6654 S LOOMIS ST,POLICE,$0.00
22CS000494,02/03/2022,260 W 65TH ST ,POLICE,$0.00
18DS11011L,01/05/2018,741 W 123RD ST,STRTSAN,$0.00
18DS16572L,02/08/2018,5033 S CICERO AVE,STRTSAN,$50.00
18DS23469L,02/13/2018,4100 W MADISON ST,STRTSAN,$50.00
19DS28315L,01/03/2019,1746 N BISSELL ST,STRTSAN,$0.00
19DS28315L,01/03/2019,1746 N BISSELL ST,STRTSAN,$500.00
19DS28555L,11/29/2018,4544 N LAPORTE AVE,STRTSAN,$50.00
19DS29173L,11/27/2018,2655 W 47TH ST,STRTSAN,$0.00
19DS29173L,11/27/2018,2655 W 47TH ST,STRTSAN,$150.00
19DS29173L,11/27/2018,2655 W 47TH ST,STRTSAN,$500.00
19DS29347L,01/15/2019,5441 S KEDZIE AVE,STRTSAN,$500.00
19DS31163L,01/15/2019,5333 S ARCHER AVE,STRTSAN,$150.00
19DS32129L,01/24/2019,4351 S COTTAGE GROVE AVE,STRTSAN,$0.00
19DS32240L,01/29/2019,4351 S COTTAGE GROVE AVE,STRTSAN,$0.00
19DS32542L,01/24/2019,1400 E 47TH DR,STRTSAN,$0.00
19DS34417L,11/29/2018,618 E 43RD ST,STRTSAN,$0.00
19DS34579L,01/15/2019,4710 S WESTERN AVE,STRTSAN,$0.00
19DS34693L,11/29/2018,610 E 43RD ST,STRTSAN,$150.00
19DS37025L,11/29/2018,6211 N LINCOLN AVE,STRTSAN,$150.00
19DS37030L,01/24/2019,6211 N LINCOLN AVE,STRTSAN,$150.00
19DS37450L,01/15/2019,4710 S WESTERN AVE,STRTSAN,$500.00
19DS37903L,11/28/2018,4051 W 47TH ST,STRTSAN,$50.00
19DS37903L,11/28/2018,4051 W 47TH ST,STRTSAN,$500.00
19DS38726L,11/27/2018,2559 W 47TH ST,STRTSAN,$500.00
19DS38761L,11/26/2018,4909 W MADISON ST,STRTSAN,$0.00
19DS38761L,11/26/2018,4909 W MADISON ST,STRTSAN,$50.00
19DS38761L,11/26/2018,4909 W MADISON ST,STRTSAN,$300.00
19DS38789L,11/28/2018,4220 W 47TH ST,STRTSAN,$500.00
19DS38811L,11/28/2018,7310 N ROGERS AVE,STRTSAN,$50.00
19DS38811L,11/28/2018,7310 N ROGERS AVE,STRTSAN,$500.00
19DS38826L,11/26/2018,5000 W QUINCY ST,STRTSAN,$150.00
19DS38888L,11/27/2018,4756 S ROCKWELL ST,STRTSAN,$150.00
19DS38904L,11/27/2018,4759 S ROCKWELL ST,STRTSAN,$150.00
19DS38929L,11/27/2018,7310 N ROGERS AVE,STRTSAN,$0.00
19DS39286L,11/28/2018,3165 N MILWAUKEE AVE,STRTSAN,$150.00
19DS39340L,11/28/2018,4047 W 47TH ST,STRTSAN,$150.00
19DS39486L,11/29/2018,6401 W ARCHER AVE,STRTSAN,$150.00
19DS39577L,11/29/2018,543 E 43RD ST,STRTSAN,$500.00
19DS39640L,11/28/2018,4059 W 47TH ST,STRTSAN,$0.00
19DS39640L,11/28/2018,4059 W 47TH ST,STRTSAN,$150.00
19DS39680L,11/28/2018,4455 S PULASKI RD,STRTSAN,$500.00
19DS39803L,11/28/2018,4138 W 47TH ST,STRTSAN,$50.00
19DS39822L,11/28/2018,4137 W 47TH ST,STRTSAN,$150.00
19DS39870L,11/28/2018,3424 N SOUTHPORT AVE,STRTSAN,$150.00
19DS39929L,11/29/2018,501 E 43RD ST,STRTSAN,$500.00
19DS40019L,11/29/2018,600 E 43RD ST,STRTSAN,$500.00
19DS40298L,11/30/2018,831 E OAKWOOD BLVD,STRTSAN,$500.00
19DS40298L,11/30/2018,831 E OAKWOOD BLVD,STRTSAN,$600.00
19DS40687L,11/29/2018,645 E 43RD ST,STRTSAN,$0.00
19DS40687L,11/29/2018,645 E 43RD ST,STRTSAN,$100.00
19DS40866L,01/14/2019,3222 W WASHINGTON BLVD,STRTSAN,$500.00
19DS40868L,11/29/2018,6211 N LINCOLN AVE,STRTSAN,$150.00
19DS41030L,02/11/2019,3222 W WASHINGTON BLVD,STRTSAN,$500.00
19DS41101L,01/15/2019,5103 S LUNA AVE,STRTSAN,$500.00
19DS41153L,01/22/2019,3222 W WASHINGTON BLVD,STRTSAN,$500.00
19DS41197L,01/15/2019,1858 W 47TH ST,STRTSAN,$0.00
19DS41197L,01/15/2019,1858 W 47TH ST,STRTSAN,$300.00
19DS41203L,01/15/2019,4551 S ASHLAND AVE,STRTSAN,$30.00
19DS41222L,01/15/2019,1958 W 47TH ST,STRTSAN,$150.00
19DS41236L,01/15/2019,2432 W 47TH ST,STRTSAN,$150.00
19DS41237L,01/15/2019,4443 S ASHLAND AVE,STRTSAN,$0.00
19DS41237L,01/15/2019,4443 S ASHLAND AVE,STRTSAN,$500.00
19DS41249L,01/16/2019,4600 S KARLOV AVE,STRTSAN,$150.00
19DS41250L,01/15/2019,4453 S ASHLAND AVE,STRTSAN,$150.00
19DS41250L,01/15/2019,4453 S ASHLAND AVE,STRTSAN,$500.00
19DS41255L,01/14/2019,3206 W WASHINGTON BLVD,STRTSAN,$150.00
19DS41258L,01/15/2019,4539 S ASHLAND AVE,STRTSAN,$50.00
19DS41264L,01/15/2019,2652 W 47TH ST,STRTSAN,$150.00
19DS41267L,01/15/2019,4649 S WASHTENAW AVE,STRTSAN,$0.00
19DS41267L,01/15/2019,4649 S WASHTENAW AVE,STRTSAN,$50.00
19DS41277L,02/19/2019,4600 S KARLOV AVE,STRTSAN,$150.00
19DS41314L,01/15/2019,1948 W PETERSON AVE,STRTSAN,$150.00
19DS41342L,01/15/2019,4543 S ASHLAND AVE,STRTSAN,$150.00
19DS41348L,01/15/2019,4541 S ASHLAND AVE,STRTSAN,$30.00
19DS41379L,01/15/2019,5103 S ARCHER AVE,STRTSAN,$500.00
19DS41406L,01/16/2019,7715 S MICHIGAN AVE,STRTSAN,$500.00
19DS41420L,01/16/2019,4500 S WESTERN AVE,STRTSAN,$150.00
19DS41425L,01/16/2019,2144 N BISSELL ST,STRTSAN,$0.00
19DS41425L,01/16/2019,2144 N BISSELL ST,STRTSAN,$300.00
19DS41468L,01/16/2019,2509 W 47TH ST,STRTSAN,$150.00
19DS41477L,02/12/2019,5525 W DIVISION ST,STRTSAN,$500.00
19DS41502L,01/17/2019,6414 S ASHLAND AVE,STRTSAN,$0.00
19DS41502L,01/17/2019,6414 S ASHLAND AVE,STRTSAN,$300.00
19DS41503L,01/16/2019,2559 W 47TH ST,STRTSAN,$500.00
19DS41503L,01/16/2019,2559 W 47TH ST,STRTSAN,$600.00
19DS41504L,01/17/2019,6426 S ASHLAND AVE,STRTSAN,$0.00
19DS41504L,01/17/2019,6426 S ASHLAND AVE,STRTSAN,$300.00
19DS41519L,02/22/2019,7410 N HOYNE AVE,STRTSAN,$150.00
19DS41521L,01/16/2019,2553 W 47TH ST,STRTSAN,$150.00
19DS41526L,01/16/2019,2621 W 47TH ST,STRTSAN,$150.00
19DS41533L,01/25/2019,7410 N HOYNE AVE,STRTSAN,$500.00
19DS41544L,01/24/2019,7410 N HOYNE AVE,STRTSAN,$500.00
19DS41562L,01/16/2019,7751 S MICHIGAN AVE,STRTSAN,$0.00
19DS41572L,01/16/2019,4524 S WESTERN AVE,STRTSAN,$150.00
19DS41622L,01/16/2019,7729 S MICHIGAN AVE,STRTSAN,$150.00
19DS41630L,01/29/2019,104 E 47TH ST,STRTSAN,$500.00
19DS41682L,01/22/2019,10456 S LONGWOOD DR,STRTSAN,$150.00
19DS41717L,01/25/2019,930 W NEWPORT AVE,STRTSAN,$150.00
19DS41753L,01/15/2019,1614 W 47TH ST,STRTSAN,$150.00
19DS41774L,01/22/2019,10 S HOMAN AVE,STRTSAN,$0.00
19DS41774L,01/22/2019,10 S HOMAN AVE,STRTSAN,$150.00
19DS41792L,01/15/2019,3356 W 51ST ST,STRTSAN,$150.00
19DS41805L,01/22/2019,110 S HOMAN AVE,STRTSAN,$500.00
19DS41805L,01/22/2019,110 S HOMAN AVE,STRTSAN,$600.00
19DS41834L,01/23/2019,4415 N MILWAUKEE AVE,STRTSAN,$150.00
19DS41846L,02/22/2019,2033 W BIRCHWOOD AVE,STRTSAN,$0.00
19DS41855L,01/22/2019,3407 W MADISON ST,STRTSAN,$150.00
19DS41880L,01/25/2019,2701 N CENTRAL AVE,STRTSAN,$500.00
19DS41908L,01/15/2019,1710 W 47TH ST,STRTSAN,$150.00
19DS41913L,01/15/2019,1738 W 47TH ST,STRTSAN,$50.00
19DS41913L,01/15/2019,1738 W 47TH ST,STRTSAN,$500.00
19DS41916L,01/15/2019,1700 W 47TH ST,STRTSAN,$500.00
19DS41926L,01/15/2019,1740 W 47TH ST,STRTSAN,$500.00
19DS41944L,01/23/2019,351 W VAN BUREN ST,STRTSAN,$0.00
19DS41946L,01/15/2019,3035 W 55TH ST,STRTSAN,$0.00
19DS42070L,01/29/2019,4657 S STATE ST,STRTSAN,$150.00
19DS42144L,01/31/2019,7511 N SHERIDAN RD,STRTSAN,$0.00
19DS42144L,01/31/2019,7511 N SHERIDAN RD,STRTSAN,$150.00
19DS42166L,01/24/2019,9520 S JEFFERY AVE,STRTSAN,$150.00
19DS42176L,01/24/2019,705 S CLARK ST,STRTSAN,$75.00
19DS42176L,01/24/2019,705 S CLARK ST,STRTSAN,$150.00
19DS42182L,01/23/2019,3341 W MADISON ST,STRTSAN,$150.00
19DS42193L,01/29/2019,5858 W WRIGHTWOOD AVE,STRTSAN,$500.00
19DS42199L,01/16/2019,4400 S CALIFORNIA AVE,STRTSAN,$150.00
19DS42200L,01/16/2019,4223 S ARCHER AVE,STRTSAN,$500.00
19DS42200L,01/16/2019,4223 S ARCHER AVE,STRTSAN,$600.00
19DS42235L,01/31/2019,5558 W LELAND AVE,STRTSAN,$0.00
19DS42235L,01/31/2019,5558 W LELAND AVE,STRTSAN,$500.00
19DS42359L,01/29/2019,3100 S GILES AVE,STRTSAN,$150.00
19DS42443L,01/16/2019,7757 S MICHIGAN AVE,STRTSAN,$500.00
19DS42477L,02/11/2019,3265 W WASHINGTON BLVD,STRTSAN,$500.00
19DS42567L,01/29/2019,223 E 31ST ST,STRTSAN,$150.00
19DS42579L,01/29/2019,235 E 31ST ST,STRTSAN,$150.00
19DS42585L,02/19/2019,5200 S MAYFIELD AVE,STRTSAN,$150.00
19DS42605L,02/12/2019,455 W NORTH AVE,STRTSAN,$500.00
19DS42784L,02/19/2019,1319 W SHERWIN AVE,STRTSAN,$50.00
19DS42820L,02/22/2019,2053 W BIRCHWOOD AVE,STRTSAN,$500.00
19DS43320L,01/25/2019,700 N WELLS ST,STRTSAN,$500.00
19DS43469L,02/19/2019,6604 S ST LOUIS AVE,STRTSAN,$500.00
19DS43492L,01/29/2019,301 E 47TH ST,STRTSAN,$500.00
19DS43590L,01/29/2019,219 E 47TH ST,STRTSAN,$100.00
19DS43700L,02/22/2019,1417 W ARTHUR AVE,STRTSAN,$500.00
19DS43730L,02/22/2019,5761 W HIGGINS AVE,STRTSAN,$150.00
19DS44120L,02/01/2019,5441 N MOODY AVE,STRTSAN,$50.00
19DS44682L,01/15/2019,4640 S ASHLAND AVE,STRTSAN,$150.00
19DS44684L,02/22/2019,7430 N SHERIDAN RD,STRTSAN,$500.00
19DS44696L,01/15/2019,4612 S ASHLAND AVE,STRTSAN,$50.00
19DS44727L,01/15/2019,4545 S ASHLAND AVE,STRTSAN,$50.00
19DS44739L,01/15/2019,4410 S ASHLAND AVE,STRTSAN,$500.00
19DS44780L,01/15/2019,4400 S ASHLAND AVE,STRTSAN,$50.00
19DS44808L,01/15/2019,5500 S SAWYER AVE,STRTSAN,$150.00
19DS44828L,01/15/2019,4456 S ASHLAND AVE,STRTSAN,$150.00
19DS44834L,01/15/2019,1543 W 46TH ST,STRTSAN,$500.00
19DS45363L,02/14/2019,4762 N MILWAUKEE AVE,STRTSAN,$150.00
19DS57948L,01/23/2019,3350 W VAN BUREN ST,STRTSAN,$150.00
19DS68300L,11/13/2019,4710 S WESTERN AVE,STRTSAN,$150.00
19DS69216L,11/13/2019,1425 W MORSE AVE,STRTSAN,$50.00
19DS70010L,11/13/2019,715 E 47TH ST,STRTSAN,$150.00
19DS72153L,11/12/2019,300 W WASHINGTON ST,STRTSAN,$0.00
19DS72153L,11/12/2019,300 W WASHINGTON ST,STRTSAN,$150.00
19DS72153L,11/12/2019,300 W WASHINGTON ST,STRTSAN,$500.00
19DS72160L,11/14/2019,6929 N SHERIDAN RD,STRTSAN,$500.00
19DS72172L,11/13/2019,2646 W 47TH ST,STRTSAN,$50.00
19DS72178L,11/13/2019,2607 W 47TH ST,STRTSAN,$500.00
19DS72191L,11/14/2019,1215 W ARTHUR AVE,STRTSAN,$50.00
19DS72200L,11/13/2019,1751 W 17TH ST,STRTSAN,$150.00
19DS72216L,11/14/2019,1217 W ARTHUR AVE,STRTSAN,$150.00
19DS72224L,11/13/2019,2605 W 47TH ST,STRTSAN,$500.00
19DS72224L,11/13/2019,2605 W 47TH ST,STRTSAN,$600.00
19DS72255L,11/13/2019,2509 W 47TH ST,STRTSAN,$150.00
19DS72301L,11/13/2019,2559 W 47TH ST,STRTSAN,$500.00
19DS72310L,11/13/2019,2547 W 47TH ST,STRTSAN,$0.00
19DS72310L,11/13/2019,2547 W 47TH ST,STRTSAN,$300.00
19DS72311L,11/13/2019,2502 W 47TH ST,STRTSAN,$300.00
19DS72311L,11/13/2019,2502 W 47TH ST,STRTSAN,$600.00
19DS72319L,11/13/2019,2432 W 47TH ST,STRTSAN,$150.00
19DS72319L,11/13/2019,2432 W 47TH ST,STRTSAN,$300.00
19DS72378L,11/14/2019,1401 W PRATT BLVD,STRTSAN,$150.00
19DS72388L,11/15/2019,7800 S EXCHANGE AVE,STRTSAN,$150.00
19DS72428L,11/14/2019,2303 W CERMAK RD,STRTSAN,$0.00
19DS72428L,11/14/2019,2303 W CERMAK RD,STRTSAN,$100.00
19DS72434L,11/14/2019,6417 N GLENWOOD AVE,STRTSAN,$0.00
19DS72474L,11/14/2019,1335 W MORSE AVE,STRTSAN,$150.00
19DS72505L,11/14/2019,6419 N GLENWOOD AVE,STRTSAN,$150.00
20DS72557L,11/15/2019,2053 W HOWARD ST,STRTSAN,$150.00
20DS72598L,11/13/2019,6740 N SHERIDAN RD,STRTSAN,$50.00
20DS72639L,11/13/2019,830 S MICHIGAN AVE,STRTSAN,$150.00
20DS72695L,11/12/2019,830 S MICHIGAN AVE,STRTSAN,$150.00
20DS72765L,11/12/2019,7201 S EVANS AVE,STRTSAN,$0.00
20DS72765L,11/12/2019,7201 S EVANS AVE,STRTSAN,$300.00
20DS72805L,11/13/2019,7464 N CLARK ST,STRTSAN,$150.00
20DS72942L,11/15/2019,935 W WILLOW ST,STRTSAN,$150.00
20DS73439L,11/13/2019,2523 W 47TH ST,STRTSAN,$90.00
20DS73439L,11/13/2019,2523 W 47TH ST,STRTSAN,$200.00
20DS73674L,11/13/2019,2501 W 47TH ST,STRTSAN,$150.00
20DS73674L,11/13/2019,2501 W 47TH ST,STRTSAN,$300.00
20DS73871L,11/13/2019,1712 W PRATT BLVD,STRTSAN,$150.00
20DS74442L,11/13/2019,6760 N SHERIDAN RD,STRTSAN,$150.00
20DS74580L,11/15/2019,2101 W HOWARD ST,STRTSAN,$300.00
20DS74596L,11/15/2019,4402 S CALIFORNIA AVE,STRTSAN,$150.00
20DS74649L,12/31/2019,5422 W WINDSOR AVE,STRTSAN,$0.00
20DS74649L,12/31/2019,5422 W WINDSOR AVE,STRTSAN,$200.00
20DS75523L,01/21/2020,2042 W 47TH ST,STRTSAN,$150.00
20DS75556L,01/21/2020,1724 W 47TH ST,STRTSAN,$150.00
20DS75558L,01/21/2020,4410 S ASHLAND AVE,STRTSAN,$150.00
20DS75561L,01/21/2020,1436 W FARGO AVE,STRTSAN,$150.00
20DS75580L,01/21/2020,4456 S ASHLAND AVE,STRTSAN,$150.00
20DS75583L,01/21/2020,4518 S ASHLAND AVE,STRTSAN,$150.00
20DS75589L,01/21/2020,2000 W 47TH ST,STRTSAN,$150.00
20DS75592L,01/21/2020,2539 W PETERSON AVE,STRTSAN,$150.00
20DS75602L,01/21/2020,1614 W 47TH ST,STRTSAN,$150.00
20DS75603L,01/20/2020,5956 W HIGGINS AVE,STRTSAN,$150.00
20DS75628L,01/21/2020,6640 N TALMAN AVE,STRTSAN,$500.00
20DS75640L,01/21/2020,4443 S ASHLAND AVE,STRTSAN,$150.00
20DS75650L,01/21/2020,2307 W 47TH ST,STRTSAN,$150.00
20DS75650L,01/21/2020,2307 W 47TH ST,STRTSAN,$300.00
20DS75688L,01/21/2020,4801 S WESTERN AVE,STRTSAN,$150.00
20DS75693L,01/21/2020,1335 W MORSE AVE,STRTSAN,$150.00
20DS75718L,01/22/2020,2301 W GARFIELD BLVD,STRTSAN,$150.00
20DS75730L,01/21/2020,1816 W 47TH ST,STRTSAN,$150.00
20DS75730L,01/21/2020,1816 W 47TH ST,STRTSAN,$300.00
20DS75740L,01/21/2020,1737 W 47TH ST,STRTSAN,$500.00
20DS75749L,11/13/2019,6714 N CLARK ST,STRTSAN,$50.00
20DS75771L,01/21/2020,2021 W 47TH ST,STRTSAN,$150.00
20DS75772L,01/21/2020,1425 W MORSE AVE,STRTSAN,$150.00
20DS75787L,01/22/2020,5421 S ASHLAND AVE,STRTSAN,$150.00
20DS75787L,01/22/2020,5421 S ASHLAND AVE,STRTSAN,$300.00
20DS75789L,01/21/2020,2706 W 47TH ST,STRTSAN,$50.00
20DS75792L,01/20/2020,5035 W FOSTER AVE,STRTSAN,$150.00
20DS75798L,01/22/2020,5407 S ASHLAND AVE,STRTSAN,$500.00
20DS75804L,01/22/2020,5658 S HONORE ST,STRTSAN,$150.00
20DS75836L,01/19/2020,4901 W IRVING PARK RD,STRTSAN,$150.00
20DS75837L,01/22/2020,7628 S UNION AVE,STRTSAN,$500.00
20DS75837L,01/22/2020,7628 S UNION AVE,STRTSAN,$600.00
20DS75850L,01/22/2020,4500 S ROCKWELL ST,STRTSAN,$50.00
20DS75858L,01/22/2020,4921 N TALMAN AVE,STRTSAN,$500.00
20DS75863L,01/21/2020,26251 W 47TH ST,STRTSAN,$150.00
20DS75868L,01/21/2020,1910 W 47TH ST,STRTSAN,$150.00
20DS75870L,01/22/2020,5874 S ARCHER AVE,STRTSAN,$150.00
20DS75871L,01/21/2020,5001 S WESTERN BLVD,STRTSAN,$50.00
20DS75874L,01/21/2020,1516 W FARWELL AVE,STRTSAN,$0.00
20DS75874L,01/21/2020,1516 W FARWELL AVE,STRTSAN,$500.00
20DS75875L,01/22/2020,5943 S WOOD ST,STRTSAN,$0.00
20DS75875L,01/22/2020,5943 S WOOD ST,STRTSAN,$500.00
20DS75876L,01/21/2020,2614 W 48TH ST,STRTSAN,$150.00
20DS75880L,01/22/2020,4528 S ROCKWELL ST,STRTSAN,$50.00
20DS75886L,01/21/2020,4701 S WESTERN AVE,STRTSAN,$150.00
20DS75889L,01/22/2020,5945 S WOOD ST,STRTSAN,$50.00
20DS75906L,01/22/2020,2619 W POPE JOHN PAUL II DR,STRTSAN,$150.00
20DS75908L,01/22/2020,5516 S DAMEN AVE,STRTSAN,$500.00
20DS75909L,01/22/2020,2057 W GARFIELD BLVD,STRTSAN,$50.00
20DS75914L,01/21/2020,1643 W 47TH ST,STRTSAN,$0.00
20DS75914L,01/21/2020,1643 W 47TH ST,STRTSAN,$500.00
20DS75914L,01/21/2020,1643 W 47TH ST,STRTSAN,$600.00
20DS75916L,01/22/2020,5524 S DAMEN AVE,STRTSAN,$500.00
20DS75919L,01/21/2020,2559 W 47TH ST,STRTSAN,$150.00
20DS75920L,01/21/2020,4385 S ARCHER AVE,STRTSAN,$150.00
20DS75927L,01/22/2020,5500 S DAMEN AVE,STRTSAN,$500.00
20DS75933L,01/22/2020,4533 S GREENWOOD AVE,STRTSAN,$0.00
20DS75933L,01/22/2020,4533 S GREENWOOD AVE,STRTSAN,$500.00
20DS75935L,01/22/2020,4201 S FAIRFIELD AVE,STRTSAN,$50.00
20DS75936L,01/21/2020,4348 S WESTERN AVE,STRTSAN,$150.00
20DS75940L,01/22/2020,7105 N RIDGE BLVD,STRTSAN,$150.00
20DS75941L,01/22/2020,6414 S ASHLAND AVE,STRTSAN,$500.00
20DS75943L,01/22/2020,4210 S ROCKWELL ST,STRTSAN,$150.00
20DS75946L,01/21/2020,2555 S BLUE ISLAND AVE,STRTSAN,$150.00
20DS75950L,01/22/2020,4504 S WOODLAWN AVE,STRTSAN,$500.00
20DS75953L,01/22/2020,2111 W GARFIELD BLVD,STRTSAN,$150.00
20DS75956L,01/21/2020,2415 W PETERSON AVE,STRTSAN,$50.00
20DS75957L,01/22/2020,4201 S CALIFORNIA AVE,STRTSAN,$150.00
20DS75964L,01/22/2020,4446 S GREENWOOD AVE,STRTSAN,$50.00
20DS75965L,01/22/2020,4454 S GREENWOOD AVE,STRTSAN,$150.00
20DS75969L,01/22/2020,4201 S ARTESIAN AVE,STRTSAN,$500.00
20DS75973L,01/22/2020,4531 S GREENWOOD AVE,STRTSAN,$150.00
20DS75976L,01/22/2020,7701 S PHILLIPS AVE,STRTSAN,$500.00
20DS75978L,01/21/2020,2551 W PETERSON AVE,STRTSAN,$150.00
20DS75979L,01/21/2020,7910 S MUSKEGON AVE,STRTSAN,$150.00
