Docket Number,Violation Date,Violation Address,City,State,Issuing Department Code,Imposed Fine Detailed,result_num,osm_id,display_name,category,type,latlong,community,area,shape_area,perimeter,area_num_1,area_numbe,comarea_id,comarea,shape_len
21DT000555,2021-02-04,3158 S KING DR,Chicago,IL,TRANPORT,$0.00,"0","210962248","3158, South Doctor Martin Luther King Junior Drive, Douglas, Chicago, Cook County, Illinois, 60616, United States",building,yes,"41.83670105,-87.61781810661024",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
21DT000555,2021-02-04,3158 S KING DR,Chicago,IL,TRANPORT,$500.00,"0","210962248","3158, South Doctor Martin Luther King Junior Drive, Douglas, Chicago, Cook County, Illinois, 60616, United States",building,yes,"41.83670105,-87.61781810661024",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
21DT000554,2021-02-05,318 E 35TH ST,Chicago,IL,TRANPORT,$500.00,"0","210962251","Popeyes, 318, East 35th Street, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60616, United States",amenity,fast_food,"41.83154305,-87.61850130048379",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
21DT000557,2021-02-05,300 E 35TH ST,Chicago,IL,TRANPORT,$150.00,"0","210962166","KFC, 300, East 35th Street, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60616, United States",amenity,fast_food,"41.831287,-87.6189658859841",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
21DT001180,2021-02-22,3658 S PRAIRIE ,Chicago,IL,TRANPORT,$500.00,"0","24111172","3658, South Prairie Avenue, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60653, United States",place,house,"41.828145583678925,-87.62059581323",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
21DT001183,2021-02-22,3526 S PRAIRIE ,Chicago,IL,TRANPORT,$500.00,"0","210534637","3526, South Prairie Avenue, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60653, United States",building,yes,"41.8302224,-87.62082814535663",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
21DT001189,2021-02-22,3832 S WABASH ,Chicago,IL,TRANPORT,$0.00,"0","210535150","3832, South Wabash Avenue, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60637, United States",building,yes,"41.8246153,-87.62519449555593",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
21DT001189,2021-02-22,3832 S WABASH ,Chicago,IL,TRANPORT,$500.00,"0","210535150","3832, South Wabash Avenue, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60637, United States",building,yes,"41.8246153,-87.62519449555593",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
22DT001150,2022-01-05,2609 S STATE ST,Chicago,IL,TRANPORT,$50.00,"0","435536406","2609, South State Street, Douglas, Chicago, Cook County, Illinois, 60616, United States",place,house,"41.84536641732665,-87.62706584039985",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
22DT001150,2022-01-05,2609 S STATE ST,Chicago,IL,TRANPORT,$500.00,"0","435536406","2609, South State Street, Douglas, Chicago, Cook County, Illinois, 60616, United States",place,house,"41.84536641732665,-87.62706584039985",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
22DT001221,2022-01-11,835 E 35TH ST,Chicago,IL,TRANPORT,$50.00,"0","24094975","East 35th Street, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60616, United States",highway,secondary,"41.8310311,-87.6245552",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
22DT001576,2022-01-31,412 E 31ST ST,Chicago,IL,TRANPORT,$150.00,"0","488356385","412, East 31st Street, Douglas, Chicago, Cook County, Illinois, 60616, United States",place,house,"41.83851021816535,-87.61669387386904",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
22DT001565,2022-02-08,2831 S MICHIGAN ,Chicago,IL,TRANPORT,$0.00,"0","1072561408","2831, South Michigan Avenue, Douglas, Chicago, Cook County, Illinois, 60616, United States",place,house,"41.842898074485504,-87.62367788440045",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
22DT001565,2022-02-08,2831 S MICHIGAN ,Chicago,IL,TRANPORT,$150.00,"0","1072561408","2831, South Michigan Avenue, Douglas, Chicago, Cook County, Illinois, 60616, United States",place,house,"41.842898074485504,-87.62367788440045",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
22DT001566,2022-02-08,250 E 29TH ST,Chicago,IL,TRANPORT,$0.00,"0","24103254","250, East 29th Street, Douglas, Chicago, Cook County, Illinois, 60616, United States",place,house,"41.84211911644582,-87.61996275276782",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
22DT001566,2022-02-08,250 E 29TH ST,Chicago,IL,TRANPORT,$150.00,"0","24103254","250, East 29th Street, Douglas, Chicago, Cook County, Illinois, 60616, United States",place,house,"41.84211911644582,-87.61996275276782",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
22DT001575,2022-02-09,340 E 35TH ST,Chicago,IL,TRANPORT,$500.00,"0","255368335","340, East 35th Street, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60616, United States",place,house,"41.83118935197544,-87.61791692047072",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
22DT001578,2022-02-09,329 E 35TH ST,Chicago,IL,TRANPORT,$500.00,"0","210962292","Gappie Plaza, 325-329, East 35th Street, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60653, United States",building,retail,"41.830902550000005,-87.61791026981903",DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
19DS40298L,2018-11-30,831 E OAKWOOD BLVD,Chicago,IL,STRTSAN,$500.00,"0","314063803","East Oakwood Boulevard, Oakland, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",highway,tertiary,"41.8238442,-87.6043918",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
19DS40298L,2018-11-30,831 E OAKWOOD BLVD,Chicago,IL,STRTSAN,$600.00,"0","314063803","East Oakwood Boulevard, Oakland, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",highway,tertiary,"41.8238442,-87.6043918",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
20DS76208L,2020-01-26,831 E OAKWOOD BLVD,Chicago,IL,STRTSAN,$0.00,"0","314063803","East Oakwood Boulevard, Oakland, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",highway,tertiary,"41.8238442,-87.6043918",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
20DS76208L,2020-01-26,831 E OAKWOOD BLVD,Chicago,IL,STRTSAN,$150.00,"0","314063803","East Oakwood Boulevard, Oakland, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",highway,tertiary,"41.8238442,-87.6043918",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
21DT000540,2021-02-01,3845 S ELLIS ,Chicago,IL,TRANPORT,$100.00,"0","210962882","3845, South Ellis Avenue, Oakland, Chicago, Cook County, Illinois, 60615, United States",building,yes,"41.825323850000004,-87.60554871886407",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
21DT000540,2021-02-01,3845 S ELLIS ,Chicago,IL,TRANPORT,$500.00,"0","210962882","3845, South Ellis Avenue, Oakland, Chicago, Cook County, Illinois, 60615, United States",building,yes,"41.825323850000004,-87.60554871886407",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
21DT000541,2021-02-01,3838 S ELLIS ,Chicago,IL,TRANPORT,$100.00,"0","210962876","3838, South Ellis Avenue, Oakland, Chicago, Cook County, Illinois, 60615, United States",building,yes,"41.825323999999995,-87.60617676129084",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
21DT000541,2021-02-01,3838 S ELLIS ,Chicago,IL,TRANPORT,$500.00,"0","210962876","3838, South Ellis Avenue, Oakland, Chicago, Cook County, Illinois, 60615, United States",building,yes,"41.825323999999995,-87.60617676129084",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
21DT000626,2021-02-09,649 E 37TH ST,Chicago,IL,TRANPORT,$500.00,"0","225080440","649-661, East 37th Street, Oakland, Chicago, Cook County, Illinois, 60653, United States",building,terrace,"41.8272792,-87.60953607862959",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
21DT001045,2021-02-22,4020 S DREXEL ,Chicago,IL,TRANPORT,$0.00,"0","210913344","4020, South Drexel Boulevard, Oakland, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",building,yes,"41.820772500000004,-87.60576603039215",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
21DT001045,2021-02-22,4020 S DREXEL ,Chicago,IL,TRANPORT,$150.00,"0","210913344","4020, South Drexel Boulevard, Oakland, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",building,yes,"41.820772500000004,-87.60576603039215",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
21DT001051,2021-02-22,3701 S ELLIS ,Chicago,IL,TRANPORT,$110.00,"0","210962734","3701, South Ellis Avenue, Oakland, Chicago, Cook County, Illinois, 60615, United States",building,yes,"41.82809105,-87.60719864517449",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
22DT001222,2022-01-11,3807 S COTTAGE GROVE ,Chicago,IL,TRANPORT,$0.00,"0","210962816","3807, South Cottage Grove Avenue, Oakland, Chicago, Cook County, Illinois, 60653, United States",building,yes,"41.8259,-87.60761175704143",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
22DT001223,2022-01-11,812 E 41ST ST,Chicago,IL,TRANPORT,$0.00,"0","210915774","812, East 41st Street, Oakland, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",building,yes,"41.820672599999995,-87.60623398205686",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
22DT001223,2022-01-11,812 E 41ST ST,Chicago,IL,TRANPORT,$150.00,"0","210915774","812, East 41st Street, Oakland, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",building,yes,"41.820672599999995,-87.60623398205686",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
22DT001223,2022-01-11,812 E 41ST ST,Chicago,IL,TRANPORT,$500.00,"0","210915774","812, East 41st Street, Oakland, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",building,yes,"41.820672599999995,-87.60623398205686",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
22DT001557,2022-02-04,3866 S ELLIS ,Chicago,IL,TRANPORT,$500.00,"0","210962893","3866, South Ellis Avenue, Oakland, Chicago, Cook County, Illinois, 60615, United States",building,yes,"41.82455365,-87.60574031812169",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
22DT001571,2022-02-04,808 E 37TH ST,Chicago,IL,TRANPORT,$150.00,"0","1023566099","808, East 37th Street, Oakland, Chicago, Cook County, Illinois, 60653, United States",place,house,"41.82877866834548,-87.60620163403156",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
22DT001572,2022-02-07,4147 S COTTAGE GROVE ,Chicago,IL,TRANPORT,$500.00,"0","435385187","4147, South Cottage Grove Avenue, Oakland, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.82002682994475,-87.60668561431326",OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
20DT000508,2001-01-01,4050 S WENTWORTH ,Chicago,IL,TRANPORT,$150.00,"0","210526882","4050, South Wentworth Avenue, Fuller Park, Chicago, Lake Township, Cook County, Illinois, 60609, United States",building,yes,"41.820394300000004,-87.63160692058169",FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503"
20DT000506,2020-01-22,4405 S PRINCETON ,Chicago,IL,TRANPORT,$500.00,"0","525501064","4405, South Princeton Avenue, Fuller Park, Chicago, Lake Township, Cook County, Illinois, 60609, United States",place,house,"41.814185570466826,-87.63339756067468",FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503"
21DT000492,2021-01-29,4405 S PRINCETON ,Chicago,IL,TRANPORT,$500.00,"0","525501064","4405, South Princeton Avenue, Fuller Park, Chicago, Lake Township, Cook County, Illinois, 60609, United States",place,house,"41.814185570466826,-87.63339756067468",FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503"
21DT001195,2021-02-22,4860 S PRINCETON ,Chicago,IL,TRANPORT,$100.00,"0","24071283","4860, South Princeton Avenue, Fuller Park, Chicago, Lake Township, Cook County, Illinois, 60609, United States",place,house,"41.80581039285715,-87.63338907142858",FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503"
21DT001195,2021-02-22,4860 S PRINCETON ,Chicago,IL,TRANPORT,$500.00,"0","24071283","4860, South Princeton Avenue, Fuller Park, Chicago, Lake Township, Cook County, Illinois, 60609, United States",place,house,"41.80581039285715,-87.63338907142858",FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503"
19DT000710,2001-01-01,4307 S CALUMET ,Chicago,IL,TRANPORT,$110.00,"0","24072840","4307, South Calumet Avenue, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.8163940709865,-87.61823319036363",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DS34417L,2018-11-29,618 E 43RD ST,Chicago,IL,STRTSAN,$0.00,"0","805292896","618, East 43rd Street, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.816824538231636,-87.61085798934731",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DS34693L,2018-11-29,610 E 43RD ST,Chicago,IL,STRTSAN,$150.00,"0","210915568","610, East 43rd Street, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",building,yes,"41.816954949999996,-87.61107076069554",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DS39577L,2018-11-29,543 E 43RD ST,Chicago,IL,STRTSAN,$500.00,"0","210915518","543, East 43rd Street, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",building,yes,"41.816524599999994,-87.61240113229337",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DS39929L,2018-11-29,501 E 43RD ST,Chicago,IL,STRTSAN,$500.00,"0","1043256708","501, East 43rd Street, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",building,yes,"41.81650895,-87.61388696207328",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DS40019L,2018-11-29,600 E 43RD ST,Chicago,IL,STRTSAN,$500.00,"0","210915544","600-602, East 43rd Street, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",building,yes,"41.8169763,-87.61143697999591",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DS40687L,2018-11-29,645 E 43RD ST,Chicago,IL,STRTSAN,$0.00,"0","805292896","645, East 43rd Street, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.816675175832515,-87.61004198177726",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DS40687L,2018-11-29,645 E 43RD ST,Chicago,IL,STRTSAN,$100.00,"0","805292896","645, East 43rd Street, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.816675175832515,-87.61004198177726",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DT000531,2019-01-14,71 E 43RD ST,Chicago,IL,TRANPORT,$150.00,"0","1118678929","71, East 43rd Street, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.816426385187235,-87.62495471347212",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DT000378,2019-01-25,5050 S KING DR,Chicago,IL,TRANPORT,$500.00,"0","1077018932","5050, South Doctor Martin Luther King Junior Drive, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.80298926291485,-87.61680273275614",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DS41630L,2019-01-29,104 E 47TH ST,Chicago,IL,STRTSAN,$500.00,"0","435385160","104, East 47th Street, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.809373533770795,-87.62253786555756",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DS42070L,2019-01-29,4657 S STATE ST,Chicago,IL,STRTSAN,$150.00,"0","435385242","4657, South State Street, Grand Boulevard, Chicago, Lake Township, Cook County, Illinois, 60609, United States",place,house,"41.81003428571429,-87.62599471428572",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DS43492L,2019-01-29,301 E 47TH ST,Chicago,IL,STRTSAN,$500.00,"0","435385158","301, East 47th Street, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.809256,-87.619426",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DS43590L,2019-01-29,219 E 47TH ST,Chicago,IL,STRTSAN,$100.00,"0","210526483","219, East 47th Street, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",building,yes,"41.8091465,-87.62029824923437",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DT000391,2019-01-29,4101 S CALUMET ,Chicago,IL,TRANPORT,$0.00,"0","24072840","4101, South Calumet Avenue, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.82009,-87.618339",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DT000708,2019-02-13,5059 S INDIANA ,Chicago,IL,TRANPORT,$100.00,"0","56731088","5059, South Indiana Avenue, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",place,house,"41.80279445979308,-87.62093592620367",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
19DS70010L,2019-11-13,715 E 47TH ST,Chicago,IL,STRTSAN,$150.00,"0","5689419601","Dollar Tree, 715, East 47th Street, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",shop,variety_store,"41.8093383,-87.6080127",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
20DT000513,2020-01-24,4930 S CHAMPLAIN ,Chicago,IL,TRANPORT,$150.00,"0","24106468","4930, South Champlain Avenue, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",place,house,"41.805235162649474,-87.61021792741845",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
20DT000518,2020-01-24,4917 S CHAMPLAIN ,Chicago,IL,TRANPORT,$0.00,"0","1148698924","4917, South Champlain Avenue, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",building,yes,"41.8052521,-87.60978780599305",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
20DT000518,2020-01-24,4917 S CHAMPLAIN ,Chicago,IL,TRANPORT,$110.00,"0","1148698924","4917, South Champlain Avenue, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",building,yes,"41.8052521,-87.60978780599305",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
21DT000334,2021-01-27,515 E PERSHING RD,Chicago,IL,TRANPORT,$100.00,"0","27805906","515, East Pershing Road, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.82379121705313,-87.61399556896437",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
21DT000334,2021-01-27,515 E PERSHING RD,Chicago,IL,TRANPORT,$500.00,"0","27805906","515, East Pershing Road, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.82379121705313,-87.61399556896437",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
21DT000537,2021-02-01,562 E OAKWOOD ,Chicago,IL,TRANPORT,$200.00,"0","24117716","562, East Oakwood Boulevard, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.82276313768007,-87.61225941319043",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
21DT000537,2021-02-01,562 E OAKWOOD ,Chicago,IL,TRANPORT,$500.00,"0","24117716","562, East Oakwood Boulevard, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.82276313768007,-87.61225941319043",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
21DT000506,2021-02-02,4158 S CALUMET ,Chicago,IL,TRANPORT,$50.00,"0","210913656","4158, South Calumet Avenue, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",building,yes,"41.8185438,-87.61867045449313",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
21DT000535,2021-02-02,4926 S CHAMPLAIN ,Chicago,IL,TRANPORT,$500.00,"0","210910531","4926, South Champlain Avenue, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",building,yes,"41.8049607,-87.61042844119217",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
21DT000536,2021-02-02,4917 S CHAMPLAIN ,Chicago,IL,TRANPORT,$150.00,"0","1148698924","4917, South Champlain Avenue, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",building,yes,"41.8052521,-87.60978780599305",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
21DT000556,2021-02-02,4800 S CHAMPLAIN ,Chicago,IL,TRANPORT,$500.00,"0","210910098","4800, South Champlain Avenue, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",building,yes,"41.8075131,-87.61045148174573",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
21DT000524,2021-02-03,347 E 43RD ST,Chicago,IL,TRANPORT,$0.00,"0","1044407058","347, East 43rd Street, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",building,yes,"41.81643715,-87.61791211534035",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
21DT000524,2021-02-03,347 E 43RD ST,Chicago,IL,TRANPORT,$500.00,"0","1044407058","347, East 43rd Street, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",building,yes,"41.81643715,-87.61791211534035",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
21DT000525,2021-02-03,530 E 44TH PL,Chicago,IL,TRANPORT,$500.00,"0","24070547","530, East 44th Place, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.81406297959184,-87.61288083673469",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
21DT000526,2021-02-03,539 E 44TH PL,Chicago,IL,TRANPORT,$500.00,"0","24070547","539, East 44th Place, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.81390004081633,-87.61281232653062",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
21DT000527,2021-02-03,517 E 44TH PL,Chicago,IL,TRANPORT,$150.00,"0","24070547","517, East 44th Place, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.81389712244898,-87.61298697959184",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
21DT000553,2021-02-03,358 E 43RD ST,Chicago,IL,TRANPORT,$0.00,"0","24079682","358, East 43rd Street, Forestville, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",place,house,"41.81670007136493,-87.618024861131",GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
