field_1,Docket Number,Violation Date,Violation Address,Issuing Department Code,Imposed Fine Detailed,year,month,date,season,City,State
2414,22DT000756,2022-01-11,100  UNKNOWN ,TRANPORT,150.0,2022,1,2022-01-11,2021-2022,Chicago,Illinois
2417,22DT000768,2022-01-11,1959 W GRAND ,TRANPORT,150.0,2022,1,2022-01-11,2021-2022,Chicago,Illinois
2425,22DT000773,2022-01-12,2902 N SEELEY ST,TRANPORT,0.0,2022,1,2022-01-12,2021-2022,Chicago,Illinois
2426,22DT000773,2022-01-12,2902 N SEELEY ST,TRANPORT,150.0,2022,1,2022-01-12,2021-2022,Chicago,Illinois
2460,22DT000843,2022-01-25,6600 W GRAND ,TRANPORT,0.0,2022,1,2022-01-25,2021-2022,Chicago,Illinois
2465,22DT000849,2022-01-25,5614 W GRAND ,TRANPORT,500.0,2022,1,2022-01-25,2021-2022,Chicago,Illinois
2468,22DT000852,2022-01-25,6359 W GRAND ,TRANPORT,500.0,2022,1,2022-01-25,2021-2022,Chicago,Illinois
2470,22DT000894,2022-01-26,3826 N LAKE ST,TRANPORT,0.0,2022,1,2022-01-26,2021-2022,Chicago,Illinois
2471,22DT000894,2022-01-26,3826 N LAKE ST,TRANPORT,150.0,2022,1,2022-01-26,2021-2022,Chicago,Illinois
2472,22DT000894,2022-01-26,3826 N LAKE ST,TRANPORT,350.0,2022,1,2022-01-26,2021-2022,Chicago,Illinois
2478,22DT000906,2022-01-27,1111 W MARSHFIELD ,TRANPORT,0.0,2022,1,2022-01-27,2021-2022,Chicago,Illinois
2590,22DT001092,2022-02-03,126 W GRAND ,TRANPORT,150.0,2022,2,2022-02-03,2021-2022,Chicago,Illinois
2591,22DT001093,2022-02-03,128 W GRAND ,TRANPORT,150.0,2022,2,2022-02-03,2021-2022,Chicago,Illinois
2598,22DT001099,2022-02-03,350 W GRAND ,TRANPORT,150.0,2022,2,2022-02-03,2021-2022,Chicago,Illinois
2620,22DT001129,2022-01-05,5257 S PRIARIE ,TRANPORT,0.0,2022,1,2022-01-05,2021-2022,Chicago,Illinois
2621,22DT001129,2022-01-05,5257 S PRIARIE ,TRANPORT,150.0,2022,1,2022-01-05,2021-2022,Chicago,Illinois
2645,22DT001148,2022-01-07,4656 S LAKE PARK ,TRANPORT,50.0,2022,1,2022-01-07,2021-2022,Chicago,Illinois
2653,22DT001155,2022-02-08,6600 W NORTH ,TRANPORT,150.0,2022,2,2022-02-08,2021-2022,Chicago,Illinois
2658,22DT001159,2022-02-09,3714 N CENTRAL ,TRANPORT,150.0,2022,2,2022-02-09,2021-2022,Chicago,Illinois
2666,22DT001173,2022-02-04,2336 S PRINCETON ST,TRANPORT,500.0,2022,2,2022-02-04,2021-2022,Chicago,Illinois
2721,22DT001229,2022-01-11,3635 S LAKE PARK ,TRANPORT,150.0,2022,1,2022-01-11,2021-2022,Chicago,Illinois
2756,22DT001309,2022-01-30,2703 W TOWHY ,TRANPORT,500.0,2022,1,2022-01-30,2021-2022,Chicago,Illinois
2813,22DT001387,2022-02-08,100  UNKNOWN ,TRANPORT,0.0,2022,2,2022-02-08,2021-2022,Chicago,Illinois
2929,22DT003307,2022-06-22,2323 W NORTH ,TRANPORT,0.0,2022,6,2022-06-22,2021-2022,Chicago,Illinois
2930,22DT003307,2022-06-22,2323 W NORTH ,TRANPORT,500.0,2022,6,2022-06-22,2021-2022,Chicago,Illinois
2955,23DS13151M,2023-02-02,2422 W 64 ST,STRTSAN,150.0,2023,2,2023-02-02,2022-2023,Chicago,Illinois
2985,23DT000440,2023-01-31,3430 W BELL ,TRANPORT,500.0,2023,1,2023-01-31,2022-2023,Chicago,Illinois
3008,23DT000483,2023-01-31,126 W GRAND ,TRANPORT,150.0,2023,1,2023-01-31,2022-2023,Chicago,Illinois
