,field_1,Docket Number,Violation Date,Violation Address,Issuing Department Code,Imposed Fine Detailed,year,month,date,season,City,State,Cleaned Address,Corrected,result_num,osm_id,display_name,category,type,latlong,community,area,shape_area,perimeter,area_num_1,area_numbe,comarea_id,comarea,shape_len,Binned Fine
1563,55,20CP008002,2020/02/06,5311 S MELVINA,POLICE,500.0,2020,2,2020/02/06,2019-2020,Chicago,Illinois,5311 S MELVINA,,0,162928115,"5311, South Melvina Avenue, Garfield Ridge, Chicago, Lake Township, Cook County, Illinois, 60638, United States",building,yes,"41.79578135,-87.77676814243932",GARFIELD RIDGE,0.0,117890778.429,0.0,56.0,56.0,0.0,0.0,60080.4479704,500
1564,56,20CP008450,2020/02/09,5311 S MELVINA,POLICE,0.0,2020,2,2020/02/09,2019-2020,Chicago,Illinois,5311 S MELVINA,,0,162928115,"5311, South Melvina Avenue, Garfield Ridge, Chicago, Lake Township, Cook County, Illinois, 60638, United States",building,yes,"41.79578135,-87.77676814243932",GARFIELD RIDGE,0.0,117890778.429,0.0,56.0,56.0,0.0,0.0,60080.4479704,0
1983,53,20CP007989,2020/02/06,6148 S MOODY,POLICE,0.0,2020,2,2020/02/06,2019-2020,Chicago,Illinois,6148 S MOODY,,0,162854366,"6148, South Moody Avenue, Clearing, Chicago, Lake Township, Cook County, Illinois, 60638, United States",building,yes,"41.78000315,-87.77551645",CLEARING,0.0,71145192.3827,0.0,64.0,64.0,0.0,0.0,45363.2861749,0
2040,531,21CP001043,2021/01/17,6001 S KEDZIE,POLICE,0.0,2021,1,2021/01/17,2020-2021,Chicago,Illinois,6001 S KEDZIE,,0,165133683,"6001-6005, South Kedzie Avenue, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",building,yes,"41.78426905,-87.70305297993318",CHICAGO LAWN,0.0,98279465.1151,0.0,66.0,66.0,0.0,0.0,40073.0998382,0
2076,52,20CP005520,2020/01/24,2139 W 72ND PL,POLICE,0.0,2020,1,2020/01/24,2019-2020,Chicago,Illinois,2139 W 72ND PL,,0,209653750,"2139, West 72nd Place, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.76181925,-87.67742349070922",WEST ENGLEWOOD,0.0,87947691.9478,0.0,67.0,67.0,0.0,0.0,40195.2033069,0
2077,62,20CP012141,2020/02/27,6704 S WOOD ST,POLICE,0.0,2020,2,2020/02/27,2019-2020,Chicago,Illinois,6704 S WOOD ST,,0,194969715,"6704, South Wood Street, Drexel Estate, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",place,house,"41.771936333333336,-87.66898533333332",WEST ENGLEWOOD,0.0,87947691.9478,0.0,67.0,67.0,0.0,0.0,40195.2033069,0
2092,532,21CP002213,2021/02/05,6451 S HONORE ST,POLICE,0.0,2021,2,2021/02/05,2020-2021,Chicago,Illinois,6451 S HONORE ST,,0,209675909,"6451, South Honore Street, Drexel Estate, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.7760891,-87.66992835786802",WEST ENGLEWOOD,0.0,87947691.9478,0.0,67.0,67.0,0.0,0.0,40195.2033069,0
2093,533,21CP002214,2021/02/05,6459 S HONORE ST,POLICE,0.0,2021,2,2021/02/05,2020-2021,Chicago,Illinois,6459 S HONORE ST,,0,209675973,"6459, South Honore Street, Drexel Estate, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.77588755,-87.66998907519412",WEST ENGLEWOOD,0.0,87947691.9478,0.0,67.0,67.0,0.0,0.0,40195.2033069,0
2094,534,21CP002214,2021/02/05,6459 S HONORE ST,POLICE,50.0,2021,2,2021/02/05,2020-2021,Chicago,Illinois,6459 S HONORE ST,,0,209675973,"6459, South Honore Street, Drexel Estate, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.77588755,-87.66998907519412",WEST ENGLEWOOD,0.0,87947691.9478,0.0,67.0,67.0,0.0,0.0,40195.2033069,1-150
2104,1521,22CP000767,2022/01/10,1456 W 61ST ST,POLICE,0.0,2022,1,2022/01/10,2021-2022,Chicago,Illinois,1456 W 61ST ST,,0,210129981,"1456, West 61st Street, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.78333405,-87.6617112250623",WEST ENGLEWOOD,0.0,87947691.9478,0.0,67.0,67.0,0.0,0.0,40195.2033069,0
2196,1523,22CP001430,2022/01/23,6345 S ABERDEEN,POLICE,0.0,2022,1,2022/01/23,2021-2022,Chicago,Illinois,6345 S ABERDEEN,,0,210132579,"6345, South Aberdeen Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",building,yes,"41.77831275,-87.65176834754098",ENGLEWOOD,0.0,85652323.0826,0.0,68.0,68.0,0.0,0.0,42316.8442973,0
2197,1524,22CP001430,2022/01/23,6345 S ABERDEEN,POLICE,150.0,2022,1,2022/01/23,2021-2022,Chicago,Illinois,6345 S ABERDEEN,,0,210132579,"6345, South Aberdeen Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",building,yes,"41.77831275,-87.65176834754098",ENGLEWOOD,0.0,85652323.0826,0.0,68.0,68.0,0.0,0.0,42316.8442973,151-499
2198,1525,22CP001431,2022/01/23,6350 S ABERDEEN,POLICE,150.0,2022,1,2022/01/23,2021-2022,Chicago,Illinois,6350 S ABERDEEN,,0,210132605,"6350, South Aberdeen Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",building,yes,"41.778169000000005,-87.65230687533901",ENGLEWOOD,0.0,85652323.0826,0.0,68.0,68.0,0.0,0.0,42316.8442973,151-499
2199,1526,22CP001604,2022/01/29,1049 W MARQUETTE RD,POLICE,0.0,2022,1,2022/01/29,2021-2022,Chicago,Illinois,1049 W MARQUETTE RD,,0,210118377,"1049, West Marquette Road, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",building,yes,"41.772214000000005,-87.65139034923386",ENGLEWOOD,0.0,85652323.0826,0.0,68.0,68.0,0.0,0.0,42316.8442973,0
2200,1529,22CS000494,2022/02/03,260 W 65TH ST,POLICE,0.0,2022,2,2022/02/03,2021-2022,Chicago,Illinois,260 W 65TH ST,,0,210520372,"260, West 65th Street, Becks Park, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.7767531,-87.63248147455829",ENGLEWOOD,0.0,85652323.0826,0.0,68.0,68.0,0.0,0.0,42316.8442973,0
2285,57,20CP008508,2020/02/10,7419 S HARVARD,POLICE,0.0,2020,2,2020/02/10,2019-2020,Chicago,Illinois,7419 S HARVARD,,0,210517009,"7419, South Harvard Avenue, Auburn Park, Greater Grand Crossing, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.75933345,-87.63298858042347",GREATER GRAND CROSSING,0.0,98853167.7093,0.0,69.0,69.0,0.0,0.0,54645.3302996,0
2286,58,20CP008508,2020/02/10,7419 S HARVARD,POLICE,150.0,2020,2,2020/02/10,2019-2020,Chicago,Illinois,7419 S HARVARD,,0,210517009,"7419, South Harvard Avenue, Auburn Park, Greater Grand Crossing, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.75933345,-87.63298858042347",GREATER GRAND CROSSING,0.0,98853167.7093,0.0,69.0,69.0,0.0,0.0,54645.3302996,151-499
2543,1520,22CP000622,2022/01/10,11519 S VINCENNES,POLICE,0.0,2022,1,2022/01/10,2021-2022,Chicago,Illinois,11519 S VINCENNES,,0,209598690,"11519, South Vincennes Avenue, Morgan Park, Chicago, Lake Township, Cook County, Illinois, 60643, United States",building,yes,"41.68409385,-87.66774055127914",MORGAN PARK,0.0,91877340.6988,0.0,75.0,75.0,0.0,0.0,46396.419362,0
2554,535,21CP002398,2021/02/12,1850 W MARQUETTE ST,POLICE,0.0,2021,2,2021/02/12,2020-2021,Chicago,Illinois,1850 W MARQUETTE ST,,0,21858651,"Marquette Street, North Chicago, Lake County, Illinois, 60064, United States",highway,residential,"42.3236639,-87.8381484",,,,,,,,,,0
2555,536,21CP002398,2021/02/12,1850 W MARQUETTE ST,POLICE,50.0,2021,2,2021/02/12,2020-2021,Chicago,Illinois,1850 W MARQUETTE ST,,0,21858651,"Marquette Street, North Chicago, Lake County, Illinois, 60064, United States",highway,residential,"42.3236639,-87.8381484",,,,,,,,,,1-150
