,address,lat,long,community,count_BAFCONP,count_POLICE,count_STRTSAN,count_TRANPORT,sum_BAFCONP,sum_POLICE,sum_STRTSAN,sum_TRANPORT,n_dockets,total_fines,dept
45,1132 W DICKENS,41.91994454436597,-87.65734152748026,LINCOLN PARK,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
46,1133 N WINCHESTER,41.9023868,-87.67575268594004,WEST TOWN,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
47,1135 N DAMEN,41.90244745,-87.67695322785261,WEST TOWN,0,0,0,1,0.0,0.0,0.0,50.0,1,50.0,cdot
48,1137 W TAYLOR ST,41.869224599999995,-87.65569933579874,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,110.0,1,110.0,cdot
49,114 N ABERDEEN ST,41.883475700000005,-87.65471238776465,NEAR WEST SIDE,0,0,0,3,0.0,0.0,0.0,1230.0,3,1230.0,cdot
50,1146 W GRAND AVE,41.89139365,-87.65645438441283,WEST TOWN,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
51,115 N WABASH,41.8837574,-87.6259612,LOOP,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
52,115 W LAWRENCE,41.9687674,-87.6783338,LINCOLN SQUARE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
53,1150 N CICERO,41.8968704,-87.745858,AUSTIN,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
54,1151 N LARAMIE,41.901821444444444,-87.7556531111111,AUSTIN,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
55,1151 W TAYLOR ST,41.86935172716643,-87.65563133995893,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,600.0,1,600.0,cdot
56,11519 S VINCENNES,41.68409385,-87.66774055127914,MORGAN PARK,0,1,0,0,0.0,0.0,0.0,0.0,1,0.0,police
57,117 S CLINTON ST,41.880051300000005,-87.64082539934347,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
58,119 E 71ST ST,41.76545215,-87.62064666936267,GREATER GRAND CROSSING,0,0,1,0,0.0,0.0,500.0,0.0,1,500.0,streets
59,11914 S LOWE AVE,41.6773944,-87.63855591295075,WEST PULLMAN,0,0,1,0,0.0,0.0,0.0,0.0,1,0.0,streets
60,1198 N MONTICELLO,41.902236,-87.717873,HUMBOLDT PARK,0,0,0,1,0.0,0.0,0.0,650.0,1,650.0,cdot
61,12 E CERMAK RD,41.8530174375,-87.62687764583333,NEAR SOUTH SIDE,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
62,1200 S KEDZIE,41.8660768,-87.70586139163635,NORTH LAWNDALE,0,0,0,2,0.0,0.0,0.0,300.0,2,300.0,cdot
63,1200 W BELMONT AVE,41.9401529,-87.659326,LAKE VIEW,0,0,1,0,0.0,0.0,0.0,0.0,1,0.0,streets
64,1203 E 50TH ST,41.8039689,-87.59651495209303,KENWOOD,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
65,1203 W FLETCHER ST,41.93884513580684,-87.65915133307358,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
66,1214 E 46TH ST,41.81082439199179,-87.59634332378195,KENWOOD,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
67,1215 W ARTHUR AVE,42.000190450000005,-87.66143323727331,ROGERS PARK,0,0,1,0,0.0,0.0,50.0,0.0,1,50.0,streets
68,1217 E 46TH ST,41.8105252,-87.5960751028135,KENWOOD,0,0,0,1,0.0,0.0,0.0,110.0,1,110.0,cdot
69,1217 W ARTHUR AVE,42.00023185,-87.66159363258794,ROGERS PARK,0,0,1,0,0.0,0.0,150.0,0.0,1,150.0,streets
70,1217 W AUGUSTA,41.89973139999999,-87.6574366472465,WEST TOWN,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
71,1221 S WABASH,41.86672265,-87.62534922482429,NEAR SOUTH SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
72,1223 W WELLINGTON,41.9359563,-87.65980355377113,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
73,1225 W GEORGE ST,41.934170800000004,-87.65984092097034,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
74,1229 W MADISON,41.88139125,-87.65820500388816,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
75,1232 W NORTH,41.904905,-87.6331985,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,750.0,1,750.0,cdot
76,1233 N BOSWORTH,41.904442599999996,-87.66590589055733,WEST TOWN,0,0,0,1,0.0,0.0,0.0,260.0,1,260.0,cdot
77,1233 S WABASH,41.8665552,-87.6255855,NEAR SOUTH SIDE,0,0,0,1,0.0,0.0,0.0,250.0,1,250.0,cdot
78,1233 W WELLINGTON,41.93595915,-87.66017106668835,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,650.0,1,650.0,cdot
79,1234 N WOOD,41.9043635,-87.67264575,WEST TOWN,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
80,1235 S WABASH,41.86647765,-87.62551639763723,NEAR SOUTH SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
81,1236 N WOOD,41.904428800000005,-87.67267123213887,WEST TOWN,0,0,0,1,0.0,0.0,0.0,110.0,1,110.0,cdot
82,1236 W 64TH ST,41.7779659,-87.65588519973457,WEST ENGLEWOOD,0,0,1,0,0.0,0.0,500.0,0.0,1,500.0,streets
83,1237 W WELLINGTON,41.93578,-87.6603466,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
84,1238 W WEBSTER,41.9218291,-87.65989846413629,LINCOLN PARK,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
85,124 E 37TH ST,41.82747979571899,-87.62289776081194,DOUGLAS,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
86,1240 W WEBSTER,41.9218649,-87.65998481189294,LINCOLN PARK,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
87,1244 W 57TH ST,41.790633549999995,-87.65646060154192,WEST ENGLEWOOD,0,0,1,0,0.0,0.0,300.0,0.0,1,300.0,streets
88,1248 N PAULINA ST,41.904754,-87.67040993223425,WEST TOWN,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
89,1248 W WRIGHTWOOD,41.92910765,-87.66050662284691,LINCOLN PARK,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
90,125 E 21ST ST,41.854082500000004,-87.62274150062991,NEAR SOUTH SIDE,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
91,125 E 71ST ST,41.76545215,-87.62064666936267,GREATER GRAND CROSSING,0,0,1,0,0.0,0.0,150.0,0.0,1,150.0,streets
92,1252 W DICKENS,41.91990837958857,-87.6603167403506,LINCOLN PARK,0,0,0,2,0.0,0.0,0.0,1099.0,2,1099.0,cdot
93,1252 W WRIGHTWOOD,41.9291511,-87.6607546255889,LINCOLN PARK,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
94,1255 W SCHUBERT,41.93062516753063,-87.66066679721968,LINCOLN PARK,0,0,0,2,0.0,0.0,0.0,1000.0,2,1000.0,cdot
95,1259 S INDIANA,41.86649645980382,-87.6223052824867,NEAR SOUTH SIDE,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
96,1259 W SCHUBERT,41.930496500000004,-87.66090929909302,LINCOLN PARK,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
97,126 W GRAND AVE,41.8918436,-87.63226718616684,NEAR NORTH SIDE,0,0,0,2,0.0,0.0,0.0,300.0,2,300.0,cdot
98,1272 W MADISON ST,41.881478479591834,-87.65840165306123,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
99,128 W GRAND AVE,41.891516625954964,-87.63299641214368,NEAR NORTH SIDE,0,0,0,2,0.0,0.0,0.0,300.0,2,300.0,cdot
100,130 S HALSTED ST,41.88008046938776,-87.64741851020409,NEAR WEST SIDE,0,0,0,2,0.0,0.0,0.0,1000.0,2,1000.0,cdot
101,1300 N KOSTNER,41.904448,-87.736305,HUMBOLDT PARK,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
102,1301 W BELMONT,41.93962235,-87.66127585081861,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
103,1303 E HYDE PARK,41.7944464,-87.5939244,HYDE PARK,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
104,1308 S SAWYER,41.8642196,-87.70710043106585,NORTH LAWNDALE,0,0,0,1,0.0,0.0,0.0,650.0,1,650.0,cdot
105,1309 W WELLINGTON,41.9359155,-87.66169540263499,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
106,1310 W WELLINGTON,41.93637845,-87.66178700834656,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
107,1312 W 31ST ST,41.837955,-87.658869,BRIDGEPORT,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
108,1320 W MORSE AVE,42.008011950433435,-87.6647261518114,ROGERS PARK,0,0,1,0,0.0,0.0,150.0,0.0,1,150.0,streets
109,13220 S BALTIMORE,41.65487375,-87.54740809092891,HEGEWISCH,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
110,1325 N BOSWORTH,41.90589935,-87.66596515,WEST TOWN,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
111,1325 N CENTRAL AVE,41.904740950000004,-87.76539495042385,AUSTIN,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
112,1325 S INDEPENDENCE,41.8636353,-87.71908936879719,NORTH LAWNDALE,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
113,133 S ASHLAND,41.8794224,-87.66631338113999,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,50.0,1,50.0,cdot
114,1331 N WICKER PARK,41.906566749999996,-87.67294050672157,WEST TOWN,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
115,1331 W WELLINGTON,41.935967649999995,-87.66252041064243,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
116,1335 W 81ST ST,41.74671569506165,-87.65757998766925,AUBURN GRESHAM,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
117,1335 W MORSE AVE,42.00773245,-87.66542264259454,ROGERS PARK,0,0,2,0,0.0,0.0,300.0,0.0,2,300.0,streets
118,1340 W RANDOLPH ST,41.88439642857143,-87.65962920408163,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
119,1343 W CULLERTON,41.854982199999995,-87.66051754926801,LOWER WEST SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
120,1345 N PULASKI RD,41.9056641,-87.7257756,HUMBOLDT PARK,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
121,1345 S MICHIGAN,41.8801026,-87.6243031,LOOP,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
122,1345 W ESTES,42.0112161,-87.66510716911765,ROGERS PARK,0,0,0,2,0.0,0.0,0.0,1000.0,2,1000.0,cdot
123,1349 W 82ND ST,41.74506200207896,-87.65747683991974,AUBURN GRESHAM,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
124,135 E 71ST ST,41.76539605,-87.62035356879866,GREATER GRAND CROSSING,0,0,1,0,0.0,0.0,150.0,0.0,1,150.0,streets
125,135 N DESPLAINES ST,41.88414031945612,-87.64408633370007,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
126,1351 N PULASKI RD,41.904926345742375,-87.72626077054284,HUMBOLDT PARK,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
127,1351 W ROSCOE ST,41.943342615384616,-87.6634766923077,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
128,1354 S WABASH,41.86483978236202,-87.62588230221652,NEAR SOUTH SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
129,1359 W DIVERSEY,41.9322392,-87.6633827014847,LINCOLN PARK,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
130,1360 W FLETCHER ST,41.93899975,-87.66360549922999,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
131,1365 W HUBBARD ST,41.88968215,-87.66151195059226,WEST TOWN,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
132,1366 W HURON,41.89441865388587,-87.66178384353252,WEST TOWN,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
133,13727 S BRAINARD,41.64612198986805,-87.54274293555366,HEGEWISCH,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
134,1381 W GRAND AVE,41.8908488,-87.66204384946485,WEST TOWN,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
135,139 W 71ST ST,41.76522165,-87.62878424674014,GREATER GRAND CROSSING,0,0,1,0,0.0,0.0,150.0,0.0,1,150.0,streets
136,1395 N MILWAUKEE,41.907227999999996,-87.67236961904763,WEST TOWN,0,0,0,1,0.0,0.0,0.0,110.0,1,110.0,cdot
137,1400 E 53RD ST,41.799881,-87.5916394,HYDE PARK,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,cdot
138,1400 N ORLEANS ST,41.908188,-87.637648,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
139,1400 S HOMAN,41.861738,-87.710522,NORTH LAWNDALE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
140,1401 N MILWAUKEE,41.90747655,-87.67267726240652,WEST TOWN,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
141,1401 N SEDGWICK,41.907726,-87.638378,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
142,1401 W PRATT BLVD,42.005369,-87.666029,ROGERS PARK,0,0,1,0,0.0,0.0,150.0,0.0,1,150.0,streets
143,1414 N NOBLE,41.90754645,-87.66300765663757,WEST TOWN,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
144,1415 W 76TH ST,41.75565885,-87.65942422056762,AUBURN GRESHAM,0,0,1,0,0.0,0.0,500.0,0.0,1,500.0,streets
145,1415 W IRVING PARK,41.953365,-87.7364471,IRVING PARK,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
146,1415 W OHIO,41.8922642,-87.66294572587259,WEST TOWN,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
147,1418 W BLACKHAWK,41.90730395,-87.66353325260857,WEST TOWN,0,0,0,1,0.0,0.0,0.0,650.0,1,650.0,cdot
148,1419 N WICKER PARK,41.9077238,-87.67503573345864,WEST TOWN,0,0,0,1,0.0,0.0,0.0,50.0,1,50.0,cdot
149,142 W HUBBARD ST,41.889931748255904,-87.63168428284078,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
150,1421 E 67TH PL,41.77229903805532,-87.59055648712695,SOUTH SHORE,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
151,1425 W MORSE AVE,42.0074513,-87.6668285,ROGERS PARK,0,0,2,0,0.0,0.0,200.0,0.0,2,200.0,streets
152,1429 W IRVING PARK,41.954256580862605,-87.66533589265954,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,650.0,1,650.0,cdot
153,143 W 71ST ST,41.76520725,-87.62889357666181,GREATER GRAND CROSSING,0,0,1,0,0.0,0.0,150.0,0.0,1,150.0,streets
154,1431 W 21ST ST,41.854147361701905,-87.66239987235465,LOWER WEST SIDE,0,0,0,1,0.0,0.0,0.0,50.0,1,50.0,cdot
155,1436 W FARGO AVE,42.0173719,-87.66705005342436,ROGERS PARK,0,0,1,0,0.0,0.0,150.0,0.0,1,150.0,streets
156,1438 N MILWAUKEE,41.907834,-87.6740437648749,WEST TOWN,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
157,1440 W HUBBARD ST,41.8898584043567,-87.66356513818938,WEST TOWN,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
158,1445 W LILL,41.92771535,-87.66514980071959,LINCOLN PARK,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
159,1447 W 17TH ST,41.85855805,-87.66315393348506,LOWER WEST SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
160,1454 N DEARBORN,41.90934455,-87.63051782520165,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,50.0,1,50.0,cdot
161,1455 W OAKDALE,41.9349715,-87.66586198660681,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,650.0,1,650.0,cdot
162,1456 W 61ST ST,41.78333405,-87.6617112250623,WEST ENGLEWOOD,0,1,0,0,0.0,0.0,0.0,0.0,1,0.0,police
163,1457 W BELMONT,41.9394639,-87.66607371829818,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
164,1458 N MAPLEWOOD,41.90834475,-87.69110461009909,WEST TOWN,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
165,1459 W TAYLOR ST,41.86905445,-87.66390265581252,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
166,1465 W THOMAS ST,41.9013502,-87.66505371621231,WEST TOWN,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
167,149 N DESPLAINES ST,41.88425699005833,-87.64408997091309,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,650.0,1,650.0,cdot
168,149 W ONTARIO ST,41.89311706827314,-87.63323317803957,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
169,1493 N LARRABEE ST,41.90905925,-87.64308941775957,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,50.0,1,50.0,cdot
170,15 W BURTON PL,41.909343899999996,-87.62973848487842,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,50.0,1,50.0,cdot
171,150 E ONTARIO ST,41.893594199999995,-87.6232755491256,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
172,1500 W OAKDALE,41.93536949999999,-87.66630498779782,LAKE VIEW,0,0,0,1,0.0,0.0,0.0,550.0,1,550.0,cdot
173,1500 W TAYLOR ST,41.8695537,-87.6643441,NEAR WEST SIDE,0,0,1,0,0.0,0.0,50.0,0.0,1,50.0,streets
174,1501 W LAWRENCE,41.968813,-87.667658,UPTOWN,0,0,0,1,0.0,0.0,0.0,110.0,1,110.0,cdot
175,1505 N LARAMIE,41.90793895,-87.75537708557943,AUSTIN,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
176,151 N CICERO AVE,41.88359165,-87.74492729886462,AUSTIN,0,0,1,0,0.0,0.0,150.0,0.0,1,150.0,streets
177,1510 W GARFIELD BLVD,41.79360439655951,-87.66255040701392,WEST ENGLEWOOD,0,0,1,0,0.0,0.0,500.0,0.0,1,500.0,streets
178,1516 W FARWELL AVE,42.006943449999994,-87.6686648655629,ROGERS PARK,0,0,1,0,0.0,0.0,500.0,0.0,1,500.0,streets
179,1516 W TAYLOR ST,41.86949825,-87.66488309514268,NEAR WEST SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
180,152 E ONTARIO ST,41.89342952869437,-87.62349492257184,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
181,1522 S WABASH,41.861366649999994,-87.62606159935602,NEAR SOUTH SIDE,0,0,0,2,0.0,0.0,0.0,500.0,2,500.0,cdot
182,1523 N FREMONT ST,41.9095741,-87.65068332007587,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
183,1525 W LAWRENCE,41.96895994978044,-87.66897506778446,UPTOWN,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
184,1528 N LASALLE DR,41.9100477,-87.6334864393857,NEAR NORTH SIDE,0,0,0,1,0.0,0.0,0.0,150.0,1,150.0,cdot
185,1529 W 87TH ST,41.7357381216638,-87.6610498589241,AUBURN GRESHAM,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
186,1533 W GARFIELD BLVD,41.79412749150964,-87.66357971791919,NEW CITY,0,0,1,0,0.0,0.0,500.0,0.0,1,500.0,streets
187,1535 W GRAND AVE,41.89067535,-87.66662970553637,WEST TOWN,0,0,0,1,0.0,0.0,0.0,650.0,1,650.0,cdot
188,1537 W GRAND AVE,41.89091034336994,-87.66615655968795,WEST TOWN,0,0,0,1,0.0,0.0,0.0,500.0,1,500.0,cdot
