respondent,docket,violation_num,violation_date,hearing_date,violation_address,violation_desc,case_disposition,fine_amt,dept,cleaned_address,latlong,community,ward_1523,lat,long
"300 W. WASHINGTON, LLC c/o DAVID M. ARNBURG ",19DS72153L,272153L,2019-11-12,5/7/2020,300 W WASHINGTON ST,10-8-180    Snow and ice removal.,Continuance,0.0,STRTSAN,300 W WASHINGTON BLVD,"41.8818694,-87.7401431",WEST GARFIELD PARK,28.0,41.8818694,-87.7401431
"300 W. WASHINGTON, LLC c/o DAVID M. ARNBURG ",19DS72153L,272153L,2019-11-12,7/9/2020,300 W WASHINGTON ST,10-8-180    Snow and ice removal.,Continuance,0.0,STRTSAN,300 W WASHINGTON BLVD,"41.8818694,-87.7401431",WEST GARFIELD PARK,28.0,41.8818694,-87.7401431
327 ABERDEEN OWNER ,21DT000577,T000207097,2021-02-06,6/7/2021,327 N ABERDEEN ST,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,327 N ABERDEEN ST,"41.887547049999995,-87.6541861566614",NEAR WEST SIDE,27.0,41.887547049999995,-87.6541861566614
"3333 WASHINGTON PARTNERS, LLC C/O DANIEL R BRONSON ",21DS20487M,QTUF88L,2021-02-10,8/19/2021,3311 W WASHINGTON BLVD,10-8-180    Snow and ice removal.,Non-Suit,0.0,STRTSAN,3311 W WASHINGTON BLVD,"41.882689994673164,-87.70820177768759",EAST GARFIELD PARK,28.0,41.882689994673164,-87.70820177768759
"3333 WASHINGTON PARTNERS, LLC C/O HERBERT ECK ",21DS20487M,QTUF88L,2021-02-10,8/19/2021,3311 W WASHINGTON BLVD,10-8-180    Snow and ice removal.,Non-Suit,0.0,STRTSAN,3311 W WASHINGTON BLVD,"41.882689994673164,-87.70820177768759",EAST GARFIELD PARK,28.0,41.882689994673164,-87.70820177768759
"3540 S NORMAL LLC, C/O DMITRIOS KOURKOUVIS ",22DT001115,T000206899,2022-02-07,4/4/2022,3540 S NORMAL ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,3540 S NORMAL,"41.82938705,-87.63906893783401",BRIDGEPORT,11.0,41.82938705,-87.63906893783401
3832 SOUTH WABASH CONDOMINIUM ASSOCIATION C/O MICHELLE MONIQUE MONTGOMERY ,21DT001189,T000207113,2021-02-22,6/28/2021,3832 S WABASH ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,3832 S WABASH,"41.8246153,-87.62519449555593",DOUGLAS,3.0,41.8246153,-87.62519449555593
"3F CONSTRUCTION LLC, C/O JEREMY REIS ",23DT000243,T000205282,2022-11-23,2/27/2023,1345 W ESTES ,10-8-180    Snow and ice removal.,Default,0.0,TRANPORT,1345 W ESTES,"42.0112161,-87.66510716911765",ROGERS PARK,49.0,42.0112161,-87.66510716911765
424 W. 119TH ST LLC C/O HAYWOOD FORD ,20DT000530,T000192410,2020-01-24,5/18/2020,424 W 119TH ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,424 W 119TH ST,"41.6781527,-87.63324168781905",WEST PULLMAN,34.0,41.6781527,-87.63324168781905
424 W. 119TH ST LLC C/O HAYWOOD FORD ,20DT000530,T000192410,2020-01-24,7/20/2020,424 W 119TH ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,424 W 119TH ST,"41.6781527,-87.63324168781905",WEST PULLMAN,34.0,41.6781527,-87.63324168781905
424 W. 119TH ST LLC C/O HAYWOOD FORD ,20DT000530,T000192410,2020-01-24,9/21/2020,424 W 119TH ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,424 W 119TH ST,"41.6781527,-87.63324168781905",WEST PULLMAN,34.0,41.6781527,-87.63324168781905
424 W  119TH ST LLC C/O IRA T KAUFMAN ,20DT000531,T000192411,2020-01-24,5/18/2020,424 W 119TH ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,424 W 119TH ST,"41.6781527,-87.63324168781905",WEST PULLMAN,34.0,41.6781527,-87.63324168781905
424 W  119TH ST LLC C/O IRA T KAUFMAN ,20DT000531,T000192411,2020-01-24,7/20/2020,424 W 119TH ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,424 W 119TH ST,"41.6781527,-87.63324168781905",WEST PULLMAN,34.0,41.6781527,-87.63324168781905
424 W  119TH ST LLC C/O IRA T KAUFMAN ,20DT000531,T000192411,2020-01-24,9/21/2020,424 W 119TH ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,424 W 119TH ST,"41.6781527,-87.63324168781905",WEST PULLMAN,34.0,41.6781527,-87.63324168781905
424 W 119TH ST LLC C/O IRA T. KAUFMAN ,20DT000530,T000192410,2020-01-24,5/18/2020,424 W 119TH ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,424 W 119TH ST,"41.6781527,-87.63324168781905",WEST PULLMAN,34.0,41.6781527,-87.63324168781905
424 W 119TH ST LLC C/O IRA T. KAUFMAN ,20DT000530,T000192410,2020-01-24,7/20/2020,424 W 119TH ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,424 W 119TH ST,"41.6781527,-87.63324168781905",WEST PULLMAN,34.0,41.6781527,-87.63324168781905
424 W 119TH ST LLC C/O IRA T. KAUFMAN ,20DT000530,T000192410,2020-01-24,9/21/2020,424 W 119TH ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,424 W 119TH ST,"41.6781527,-87.63324168781905",WEST PULLMAN,34.0,41.6781527,-87.63324168781905
424 W 119TH ST LLC C/O IRA T. KAUFMAN ,20DT000531,T000192411,2020-01-24,5/18/2020,424 W 119TH ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,424 W 119TH ST,"41.6781527,-87.63324168781905",WEST PULLMAN,34.0,41.6781527,-87.63324168781905
424 W 119TH ST LLC C/O IRA T. KAUFMAN ,20DT000531,T000192411,2020-01-24,7/20/2020,424 W 119TH ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,424 W 119TH ST,"41.6781527,-87.63324168781905",WEST PULLMAN,34.0,41.6781527,-87.63324168781905
424 W 119TH ST LLC C/O IRA T. KAUFMAN ,20DT000531,T000192411,2020-01-24,9/21/2020,424 W 119TH ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,424 W 119TH ST,"41.6781527,-87.63324168781905",WEST PULLMAN,34.0,41.6781527,-87.63324168781905
"4400 S DREXEL BLVD LLC, C/O CT CORPORATION SYSTEM ",21DT001052,T000207168,2021-02-22,6/28/2021,4400 S DREXEL ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,4400 S DREXEL,"41.81485685,-87.60502021402223",KENWOOD,4.0,41.81485685,-87.60502021402223
4646 DREXEL LLC C/O BRIAN GRYLL ,22DT001045,T000207343,2022-01-04,4/4/2022,4646 S DREXEL ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,4646 S DREXEL,"41.81006100070676,-87.60379691714269",KENWOOD,4.0,41.81006100070676,-87.60379691714269
"5035 N. LINCOLN AVENUE, LLC C/O PATRICK FARAH ",21DS20258M,QTUF5SL,2021-02-03,7/13/2021,5035 N LINCOLN AVE,10-8-180    Snow and ice removal.,Not Liable,0.0,STRTSAN,5035 N LINCOLN AVE,"41.972075000000004,-87.6906605",LINCOLN SQUARE,40.0,41.972075000000004,-87.6906605
5129 S HARPER LLC C/O LAWRENCE B. ORDOWER ,19DT006043,T000181471,2019-11-13,1/6/2020,5129 S HARPER ,10-8-180    Snow and ice removal.,Liable,0.0,TRANPORT,5129 S HARPER,"41.80146445,-87.5887856629542",HYDE PARK,4.0,41.80146445,-87.5887856629542
"5134 S CICERO LLC, C/O PAULINA KOLJOVIC ",21DT003052,T000213625,2021-02-22,8/30/2021,4741 W 51ST ST,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,4741 W 51ST ST,"41.800256125017576,-87.74197099859396",GARFIELD RIDGE,14.0,41.800256125017576,-87.74197099859396
"5134 S CICERO LLC, C/O PAULINA KOLJOVIC ",21DT003053,T000213624,2021-02-22,8/30/2021,5101 S CICERO ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,5101 S CICERO,"41.8000852,-87.7425619",GARFIELD RIDGE,14.0,41.8000852,-87.7425619
516 E OAKWOOD LLC C/O THE PROPERTY LAW GROUP LLC ,21DT001158,T000207114,2021-02-22,6/7/2021,516 E OAKWOOD ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,516 E OAKWOOD,"41.82275907275542,-87.61340697678042",GRAND BOULEVARD,3.0,41.82275907275542,-87.61340697678042
"5849 SOUTH BISHOP STREET, LLC C/O ADVANCE ENAMELING ",22DS04149M,QTU475L,2022-02-05,3/16/2022,5849 S BISHOP ST,10-8-180    Snow and ice removal.,Continuance,0.0,STRTSAN,5849 S BISHOP ST,"41.78742555,-87.66005593471402",WEST ENGLEWOOD,16.0,41.78742555,-87.66005593471402
"5849 SOUTH BISHOP STREET, LLC C/O ANDREW P TECSON ",22DS04149M,QTU475L,2022-02-05,3/16/2022,5849 S BISHOP ST,10-8-180    Snow and ice removal.,Continuance,0.0,STRTSAN,5849 S BISHOP ST,"41.78742555,-87.66005593471402",WEST ENGLEWOOD,16.0,41.78742555,-87.66005593471402
"5849 SOUTH BISHOP STREET, LLC C/O DIANE GRUNERT ",22DS04149M,QTU475L,2022-02-05,3/16/2022,5849 S BISHOP ST,10-8-180    Snow and ice removal.,Continuance,0.0,STRTSAN,5849 S BISHOP ST,"41.78742555,-87.66005593471402",WEST ENGLEWOOD,16.0,41.78742555,-87.66005593471402
"6165 NORTHWEST, LLC ",20DS76790L,276790L,2020-01-13,3/10/2020,6163 N NORTHWEST HWY,10-8-180    Snow and ice removal.,Default,0.0,STRTSAN,6163 N NORTHWEST HWY,"41.99373287085914,-87.80118192798638",NORWOOD PARK,41.0,41.99373287085914,-87.80118192798638
"6165 NORTHWEST, LLC c/o JUSTIN KAISE ",20DS76790L,276790L,2020-01-13,3/10/2020,6163 N NORTHWEST HWY,10-8-180    Snow and ice removal.,Default,0.0,STRTSAN,6163 N NORTHWEST HWY,"41.99373287085914,-87.80118192798638",NORWOOD PARK,41.0,41.99373287085914,-87.80118192798638
"6165 NORTHWEST, LLC TRUST ",20DS76790L,276790L,2020-01-13,3/10/2020,6163 N NORTHWEST HWY,10-8-180    Snow and ice removal.,Default,0.0,STRTSAN,6163 N NORTHWEST HWY,"41.99373287085914,-87.80118192798638",NORWOOD PARK,41.0,41.99373287085914,-87.80118192798638
623 W RANDOLPH LLC ,21DT000591,T000207140,2021-02-08,4/5/2021,627 W RANDOLPH ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,627 W RANDOLPH ST,"41.884488,-87.6281022",LOOP,42.0,41.884488,-87.6281022
623 W RANDOLPH LLC ,21DT000591,T000207140,2021-02-08,6/21/2021,627 W RANDOLPH ST,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,627 W RANDOLPH ST,"41.884488,-87.6281022",LOOP,42.0,41.884488,-87.6281022
"6702 PULASKI LLC, C/O MOHAMMED SHEHAYBER ",22DT000992,T000211960,2022-01-06,3/28/2022,6702 S PULASKI RD,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,6702 S PULASKI RD,"41.7711177,-87.72298074829975",WEST LAWN,13.0,41.7711177,-87.72298074829975
"6840  W BELMONT AVE, MARIAN SZYMANSKI ",22DT001212,T000212410,2022-02-08,8/8/2022,6840 W BELMONT ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,6840 W BELMONT,"41.93821719938073,-87.79721313200623",DUNNING,36.0,41.93821719938073,-87.79721313200623
"757 ORLEANS ASSOCIATES, C/O ILLINOIS CORPORATION SERVICE COMPANY ",22DT000610,T000206819,2022-01-04,4/25/2022,315 W CHICAGO ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,315 W CHICAGO,"41.89648147368421,-87.63647221052632",NEAR NORTH SIDE,42.0,41.89648147368421,-87.63647221052632
773 LLC C/O TREMAINE ATKINSON ,21DT003371,T000203608,2021-02-22,9/27/2021,1629 S CLINTON ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,1629 S CLINTON,"41.85985248508945,-87.64083342603205",LOWER WEST SIDE,25.0,41.85985248508945,-87.64083342603205
830 LLC C/O FR REGISTERED AGENT SERVICES ,20DT000920,T000195424,2020-02-14,6/22/2020,828 N ORLEANS ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,828 N ORLEANS ST,"41.9187764,-87.637692",LINCOLN PARK,43.0,41.9187764,-87.637692
830 LLC C/O FR REGISTERED AGENT SERVICES ,20DT000920,T000195424,2020-02-14,8/24/2020,828 N ORLEANS ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,828 N ORLEANS ST,"41.9187764,-87.637692",LINCOLN PARK,43.0,41.9187764,-87.637692
830 LLC C/O FR REGISTERED AGENT SERVICES ,20DT000920,T000195424,2020-02-14,10/26/2020,828 N ORLEANS ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,828 N ORLEANS ST,"41.9187764,-87.637692",LINCOLN PARK,43.0,41.9187764,-87.637692
830 NORTH STATE PLAZA VENTURE LLC C/O THOMAS J DWYER & ASSOC. LLC ,20DT000532,T000182024,2020-01-21,5/18/2020,828 N STATE ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,828 N STATE ST,"41.89773755,-87.62841920669706",NEAR NORTH SIDE,2.0,41.89773755,-87.62841920669706
830 NORTH STATE PLAZA VENTURE LLC C/O THOMAS J DWYER & ASSOC. LLC ,20DT000532,T000182024,2020-01-21,7/20/2020,828 N STATE ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,828 N STATE ST,"41.89773755,-87.62841920669706",NEAR NORTH SIDE,2.0,41.89773755,-87.62841920669706
830 NORTH STATE PLAZA VENTURE LLC C/O THOMAS J DWYER & ASSOC. LLC ,20DT000532,T000182024,2020-01-21,9/21/2020,828 N STATE ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,828 N STATE ST,"41.89773755,-87.62841920669706",NEAR NORTH SIDE,2.0,41.89773755,-87.62841920669706
830 NORTH STATE PLAZA VENTURE LLC C/O THOMAS J DWYER & ASSOC. LLC ,20DT000532,T000182024,2020-01-21,11/23/2020,828 N STATE ST,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,828 N STATE ST,"41.89773755,-87.62841920669706",NEAR NORTH SIDE,2.0,41.89773755,-87.62841920669706
87 ASHLAND LLC C/O CHARLES LEVY ,21DT00034A,T000207566,2021-02-20,5/3/2021,8336 S ASHLAND AVE,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,8336 S ASHLAND AVE,"41.742372257196465,-87.66334661764364",AUBURN GRESHAM,21.0,41.742372257196465,-87.66334661764364
"A1 CAPITAL INVESTMENTS, C/O MANI TELLAPRAGADA ",22DT003519,T000204536,2022-07-08,8/22/2022,7441 N ROGERS ,10-8-180    Snow and ice removal.,Default,0.0,TRANPORT,7441 N ROGERS,"42.0166471,-87.67343873153679",ROGERS PARK,49.0,42.0166471,-87.67343873153679
A2 AND 4 LLC 3302 WALNUT ,22DT001198,T000212998,2022-02-09,8/8/2022,3302 W WALNUT ST,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,3302 W WALNUT ST,"41.88544326568866,-87.70876607961316",EAST GARFIELD PARK,28.0,41.88544326568866,-87.70876607961316
"AA 1 CONSTRUCTION LLC, C/O MOHAMMED ABBASI ",21DT000550,T000207078,2021-02-05,5/17/2021,3501 W IOWA ST,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,3501 W IOWA ST,"41.897207,-87.715929",HUMBOLDT PARK,27.0,41.897207,-87.715929
A AND M INVESTMENTS ,23DT000562,T000220110,2023-02-03,4/24/2023,3701 W MONTROSE ,10-8-180    Snow and ice removal.,Non-Suit,0.0,TRANPORT,3701 W MONTROSE,"41.96086495,-87.720645733194",IRVING PARK,35.0,41.96086495,-87.720645733194
ABELARDO NAVARRO,21DT001004,T000203302,2021-01-27,5/3/2021,2501 N CICERO ,10-8-180    Snow and ice removal.,Not Liable,0.0,TRANPORT,2501 N CICERO,"41.926356,-87.746271",BELMONT CRAGIN,31.0,41.926356,-87.746271
ABINAY LLC SERIES WESTERN c/o CARLOS A SAAVEDRA ,20DS76077L,276077L,2020-01-21,3/3/2020,4326 S WESTERN AVE,10-8-180    Snow and ice removal.,Liable,0.0,STRTSAN,4326 S WESTERN AVE,"41.8148248,-87.6849589",BRIGHTON PARK,15.0,41.8148248,-87.6849589
ABM INDUSTRY GROUPS LLC CO CT CORPORATION SYSTEM ,20DT000689,T000193928,2020-02-07,6/1/2020,519 S CLINTON ,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,519 S CLINTON,"41.87505377578163,-87.64086368383597",NEAR WEST SIDE,25.0,41.87505377578163,-87.64086368383597
ABM INDUSTRY GROUPS LLC CO CT CORPORATION SYSTEM ,20DT000689,T000193928,2020-02-07,8/3/2020,519 S CLINTON ,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,519 S CLINTON,"41.87505377578163,-87.64086368383597",NEAR WEST SIDE,25.0,41.87505377578163,-87.64086368383597
ABM INDUSTRY GROUPS LLC CO CT CORPORATION SYSTEM ,20DT000689,T000193928,2020-02-07,10/5/2020,519 S CLINTON ,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,519 S CLINTON,"41.87505377578163,-87.64086368383597",NEAR WEST SIDE,25.0,41.87505377578163,-87.64086368383597
ABM INDUSTRY GROUPS LLC C/O C T CORPORATOIN SYSTEM ,20DT001040,T000193941,2020-02-14,4/6/2020,519 S CLINTON ,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,519 S CLINTON,"41.87505377578163,-87.64086368383597",NEAR WEST SIDE,25.0,41.87505377578163,-87.64086368383597
ABM INDUSTRY GROUPS LLC C/O C T CORPORATOIN SYSTEM ,20DT001040,T000193941,2020-02-14,6/8/2020,519 S CLINTON ,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,519 S CLINTON,"41.87505377578163,-87.64086368383597",NEAR WEST SIDE,25.0,41.87505377578163,-87.64086368383597
ABM INDUSTRY GROUPS LLC C/O C T CORPORATOIN SYSTEM ,20DT001040,T000193941,2020-02-14,8/10/2020,519 S CLINTON ,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,519 S CLINTON,"41.87505377578163,-87.64086368383597",NEAR WEST SIDE,25.0,41.87505377578163,-87.64086368383597
ABM INDUSTRY GROUPS LLC C/O C T CORPORATOIN SYSTEM ,20DT001040,T000193941,2020-02-14,10/19/2020,519 S CLINTON ,10-8-180    Snow and ice removal.,Continuance,0.0,TRANPORT,519 S CLINTON,"41.87505377578163,-87.64086368383597",NEAR WEST SIDE,25.0,41.87505377578163,-87.64086368383597
