,Docket Number,Violation Date,Violation Address,Issuing Department Code,Imposed Fine Detailed,year,month,date,season,City,State,Cleaned Address,Corrected
38,19DT005843,2019-08-08,1615 N FAIRFIELD,TRANPORT,0.0,2019,8,2019-08-08,2019-2020,Chicago,Illinois,1615 N FAIRFIELD,
39,19DT005843,2019-08-08,1615 N FAIRFIELD,TRANPORT,200.0,2019,8,2019-08-08,2019-2020,Chicago,Illinois,1615 N FAIRFIELD,
40,19DT005847,2019-11-12,3555 N CENTRAL,TRANPORT,150.0,2019,11,2019-11-12,2019-2020,Chicago,Illinois,3555 N CENTRAL AVE,True
41,19DT005901,2019-11-15,4745 W ARMITAGE,TRANPORT,0.0,2019,11,2019-11-15,2019-2020,Chicago,Illinois,4745 W ARMITAGE,
42,19DT005901,2019-11-15,4745 W ARMITAGE,TRANPORT,110.0,2019,11,2019-11-15,2019-2020,Chicago,Illinois,4745 W ARMITAGE,
43,19DT005901,2019-11-15,4745 W ARMITAGE,TRANPORT,150.0,2019,11,2019-11-15,2019-2020,Chicago,Illinois,4745 W ARMITAGE,
44,19DT006012,2019-11-12,5953 W NORTH,TRANPORT,150.0,2019,11,2019-11-12,2019-2020,Chicago,Illinois,5953 W NORTH AVE AVE,True
45,19DT006043,2019-11-13,5129 S HARPER,TRANPORT,0.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,5129 S HARPER,
46,19DT006043,2019-11-13,5129 S HARPER,TRANPORT,80.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,5129 S HARPER,
47,19DT006077,2019-11-13,1400 E 53RD ST,TRANPORT,0.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,1400 E 53RD ST,
48,20CP00166A,2020-02-13,5959 W GRAND AVE,POLICE,0.0,2020,2,2020-02-13,2019-2020,Chicago,Illinois,5959 W GRAND AVE,
49,20CP00166A,2020-02-13,5959 W GRAND AVE,POLICE,150.0,2020,2,2020-02-13,2019-2020,Chicago,Illinois,5959 W GRAND AVE,
50,20CP00167A,2020-02-13,5940 W FULLERTON AVE,POLICE,0.0,2020,2,2020-02-13,2019-2020,Chicago,Illinois,5940 W FULLERTON AVE,
51,20CP005520,2020-01-24,2139 W 72ND PL,POLICE,0.0,2020,1,2020-01-24,2019-2020,Chicago,Illinois,2139 W 72ND PL,
52,20CP007989,2020-02-06,6148 S MOODY,POLICE,0.0,2020,2,2020-02-06,2019-2020,Chicago,Illinois,6148 S MOODY,
53,20CP008001,2020-02-06,5112 S NASHVILLE,POLICE,500.0,2020,2,2020-02-06,2019-2020,Chicago,Illinois,5112 S NASHVILLE,
54,20CP008002,2020-02-06,5311 S MELVINA,POLICE,500.0,2020,2,2020-02-06,2019-2020,Chicago,Illinois,5311 S MELVINA,
55,20CP008450,2020-02-09,5311 S MELVINA,POLICE,0.0,2020,2,2020-02-09,2019-2020,Chicago,Illinois,5311 S MELVINA,
56,20CP008508,2020-02-10,7419 S HARVARD,POLICE,0.0,2020,2,2020-02-10,2019-2020,Chicago,Illinois,7419 S HARVARD,
57,20CP008508,2020-02-10,7419 S HARVARD,POLICE,150.0,2020,2,2020-02-10,2019-2020,Chicago,Illinois,7419 S HARVARD,
58,20CP012097,2020-02-28,6111 W DICKENS,POLICE,0.0,2020,2,2020-02-28,2019-2020,Chicago,Illinois,6111 W DICKENS,
59,20CP012098,2020-02-28,6117 W DICKENS,POLICE,0.0,2020,2,2020-02-28,2019-2020,Chicago,Illinois,6117 W DICKENS,
60,20CP012099,2020-02-28,6159 W DICKENS,POLICE,0.0,2020,2,2020-02-28,2019-2020,Chicago,Illinois,6159 W DICKENS,
61,20CP012141,2020-02-27,6704 S WOOD ST,POLICE,0.0,2020,2,2020-02-27,2019-2020,Chicago,Illinois,6704 S WOOD ST,
62,20DS72557L,2019-11-15,2053 W HOWARD ST,STRTSAN,150.0,2019,11,2019-11-15,2019-2020,Chicago,Illinois,2053 W HOWARD ST,
63,20DS72598L,2019-11-13,6740 N SHERIDAN RD,STRTSAN,50.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,6740 N SHERIDAN RD,
64,20DS72639L,2019-11-13,830 S MICHIGAN AVE,STRTSAN,150.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,830 S MICHIGAN AVE,
65,20DS72695L,2019-11-12,830 S MICHIGAN AVE,STRTSAN,150.0,2019,11,2019-11-12,2019-2020,Chicago,Illinois,830 S MICHIGAN AVE,
66,20DS72765L,2019-11-12,7201 S EVANS AVE,STRTSAN,0.0,2019,11,2019-11-12,2019-2020,Chicago,Illinois,7201 S EVANS AVE,
67,20DS72765L,2019-11-12,7201 S EVANS AVE,STRTSAN,300.0,2019,11,2019-11-12,2019-2020,Chicago,Illinois,7201 S EVANS AVE,
68,20DS72805L,2019-11-13,7464 N CLARK ST,STRTSAN,150.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,7464 N CLARK ST,
69,20DS72942L,2019-11-15,935 W WILLOW ST,STRTSAN,150.0,2019,11,2019-11-15,2019-2020,Chicago,Illinois,935 W WILLOW ST,
70,20DS73439L,2019-11-13,2523 W 47TH ST,STRTSAN,90.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2523 W 47TH ST,
71,20DS73439L,2019-11-13,2523 W 47TH ST,STRTSAN,200.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2523 W 47TH ST,
72,20DS73674L,2019-11-13,2501 W 47TH ST,STRTSAN,150.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2501 W 47TH ST,
73,20DS73674L,2019-11-13,2501 W 47TH ST,STRTSAN,300.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,2501 W 47TH ST,
74,20DS73871L,2019-11-13,1712 W PRATT BLVD,STRTSAN,150.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,1712 W PRATT BLVD,
75,20DS74442L,2019-11-13,6760 N SHERIDAN RD,STRTSAN,150.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,6760 N SHERIDAN RD,
76,20DS74580L,2019-11-15,2101 W HOWARD ST,STRTSAN,300.0,2019,11,2019-11-15,2019-2020,Chicago,Illinois,2101 W HOWARD ST,
77,20DS74596L,2019-11-15,4402 S CALIFORNIA AVE,STRTSAN,150.0,2019,11,2019-11-15,2019-2020,Chicago,Illinois,4402 S CALIFORNIA AVE,
78,20DS74649L,2019-12-31,5422 W WINDSOR AVE,STRTSAN,0.0,2019,12,2019-12-31,2019-2020,Chicago,Illinois,5422 W WINDSOR AVE,
79,20DS74649L,2019-12-31,5422 W WINDSOR AVE,STRTSAN,200.0,2019,12,2019-12-31,2019-2020,Chicago,Illinois,5422 W WINDSOR AVE,
80,20DS75523L,2020-01-21,2042 W 47TH ST,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,2042 W 47TH ST,
81,20DS75556L,2020-01-21,1724 W 47TH ST,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1724 W 47TH ST,
82,20DS75558L,2020-01-21,4410 S ASHLAND AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,4410 S ASHLAND AVE,
83,20DS75561L,2020-01-21,1436 W FARGO AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1436 W FARGO AVE,
84,20DS75580L,2020-01-21,4456 S ASHLAND AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,4456 S ASHLAND AVE,
85,20DS75583L,2020-01-21,4518 S ASHLAND AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,4518 S ASHLAND AVE,
86,20DS75589L,2020-01-21,2000 W 47TH ST,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,2000 W 47TH ST,
87,20DS75592L,2020-01-21,2539 W PETERSON AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,2539 W PETERSON AVE,
88,20DS75602L,2020-01-21,1614 W 47TH ST,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1614 W 47TH ST,
89,20DS75603L,2020-01-20,5956 W HIGGINS AVE,STRTSAN,150.0,2020,1,2020-01-20,2019-2020,Chicago,Illinois,5956 W HIGGINS AVE,
90,20DS75628L,2020-01-21,6640 N TALMAN AVE,STRTSAN,500.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,6640 N TALMAN AVE,
91,20DS75640L,2020-01-21,4443 S ASHLAND AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,4443 S ASHLAND AVE,
92,20DS75650L,2020-01-21,2307 W 47TH ST,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,2307 W 47TH ST,
93,20DS75650L,2020-01-21,2307 W 47TH ST,STRTSAN,300.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,2307 W 47TH ST,
94,20DS75688L,2020-01-21,4801 S WESTERN AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,4801 S WESTERN AVE,
95,20DS75693L,2020-01-21,1335 W MORSE AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1335 W MORSE AVE,
96,20DS75718L,2020-01-22,2301 W GARFIELD BLVD,STRTSAN,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,2301 W GARFIELD BLVD,
97,20DS75730L,2020-01-21,1816 W 47TH ST,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1816 W 47TH ST,
98,20DS75730L,2020-01-21,1816 W 47TH ST,STRTSAN,300.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1816 W 47TH ST,
99,20DS75740L,2020-01-21,1737 W 47TH ST,STRTSAN,500.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1737 W 47TH ST,
100,20DS75749L,2019-11-13,6714 N CLARK ST,STRTSAN,50.0,2019,11,2019-11-13,2019-2020,Chicago,Illinois,6714 N CLARK ST,
101,20DS75771L,2020-01-21,2021 W 47TH ST,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,2021 W 47TH ST,
102,20DS75772L,2020-01-21,1425 W MORSE AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1425 W MORSE AVE,
103,20DS75787L,2020-01-22,5421 S ASHLAND AVE,STRTSAN,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,5421 S ASHLAND AVE,
104,20DS75787L,2020-01-22,5421 S ASHLAND AVE,STRTSAN,300.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,5421 S ASHLAND AVE,
105,20DS75789L,2020-01-21,2706 W 47TH ST,STRTSAN,50.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,2706 W 47TH ST,
106,20DS75792L,2020-01-20,5035 W FOSTER AVE,STRTSAN,150.0,2020,1,2020-01-20,2019-2020,Chicago,Illinois,5035 W FOSTER AVE,
107,20DS75798L,2020-01-22,5407 S ASHLAND AVE,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,5407 S ASHLAND AVE,
108,20DS75804L,2020-01-22,5658 S HONORE ST,STRTSAN,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,5658 S HONORE ST,
109,20DS75836L,2020-01-19,4901 W IRVING PARK RD,STRTSAN,150.0,2020,1,2020-01-19,2019-2020,Chicago,Illinois,4901 W IRVING PARK RD,
110,20DS75837L,2020-01-22,7628 S UNION AVE,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,7628 S UNION AVE,
111,20DS75837L,2020-01-22,7628 S UNION AVE,STRTSAN,600.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,7628 S UNION AVE,
112,20DS75850L,2020-01-22,4500 S ROCKWELL ST,STRTSAN,50.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4500 S ROCKWELL ST,
113,20DS75858L,2020-01-22,4921 N TALMAN AVE,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4921 N TALMAN AVE,
114,20DS75863L,2020-01-21,26251 W 47TH ST,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,26251 W 47TH ST,
115,20DS75868L,2020-01-21,1910 W 47TH ST,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1910 W 47TH ST,
116,20DS75870L,2020-01-22,5874 S ARCHER AVE,STRTSAN,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,5874 S ARCHER AVE,
117,20DS75871L,2020-01-21,5001 S WESTERN BLVD,STRTSAN,50.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,5001 S WESTERN BLVD,
118,20DS75874L,2020-01-21,1516 W FARWELL AVE,STRTSAN,0.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1516 W FARWELL AVE,
119,20DS75874L,2020-01-21,1516 W FARWELL AVE,STRTSAN,500.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1516 W FARWELL AVE,
120,20DS75875L,2020-01-22,5943 S WOOD ST,STRTSAN,0.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,5943 S WOOD ST,
121,20DS75875L,2020-01-22,5943 S WOOD ST,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,5943 S WOOD ST,
122,20DS75876L,2020-01-21,2614 W 48TH ST,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,2614 W 48TH ST,
123,20DS75880L,2020-01-22,4528 S ROCKWELL ST,STRTSAN,50.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4528 S ROCKWELL ST,
124,20DS75886L,2020-01-21,4701 S WESTERN AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,4701 S WESTERN AVE,
125,20DS75889L,2020-01-22,5945 S WOOD ST,STRTSAN,50.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,5945 S WOOD ST,
126,20DS75906L,2020-01-22,2619 W POPE JOHN PAUL II DR,STRTSAN,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,2619 W POPE JOHN PAUL II DR,
127,20DS75908L,2020-01-22,5516 S DAMEN AVE,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,5516 S DAMEN AVE,
128,20DS75909L,2020-01-22,2057 W GARFIELD BLVD,STRTSAN,50.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,2057 W GARFIELD BLVD,
129,20DS75914L,2020-01-21,1643 W 47TH ST,STRTSAN,0.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1643 W 47TH ST,
130,20DS75914L,2020-01-21,1643 W 47TH ST,STRTSAN,500.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1643 W 47TH ST,
131,20DS75914L,2020-01-21,1643 W 47TH ST,STRTSAN,600.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1643 W 47TH ST,
132,20DS75916L,2020-01-22,5524 S DAMEN AVE,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,5524 S DAMEN AVE,
133,20DS75919L,2020-01-21,2559 W 47TH ST,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,2559 W 47TH ST,
134,20DS75920L,2020-01-21,4385 S ARCHER AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,4385 S ARCHER AVE,
135,20DS75927L,2020-01-22,5500 S DAMEN AVE,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,5500 S DAMEN AVE,
136,20DS75933L,2020-01-22,4533 S GREENWOOD AVE,STRTSAN,0.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4533 S GREENWOOD AVE,
137,20DS75933L,2020-01-22,4533 S GREENWOOD AVE,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4533 S GREENWOOD AVE,
138,20DS75935L,2020-01-22,4201 S FAIRFIELD AVE,STRTSAN,50.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4201 S FAIRFIELD AVE,
139,20DS75936L,2020-01-21,4348 S WESTERN AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,4348 S WESTERN AVE,
140,20DS75940L,2020-01-22,7105 N RIDGE BLVD,STRTSAN,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,7105 N RIDGE BLVD,
141,20DS75941L,2020-01-22,6414 S ASHLAND AVE,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,6414 S ASHLAND AVE,
142,20DS75943L,2020-01-22,4210 S ROCKWELL ST,STRTSAN,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4210 S ROCKWELL ST,
143,20DS75946L,2020-01-21,2555 S BLUE ISLAND AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,2555 S BLUE ISLAND AVE,
144,20DS75950L,2020-01-22,4504 S WOODLAWN AVE,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4504 S WOODLAWN AVE,
145,20DS75953L,2020-01-22,2111 W GARFIELD BLVD,STRTSAN,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,2111 W GARFIELD BLVD,
146,20DS75956L,2020-01-21,2415 W PETERSON AVE,STRTSAN,50.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,2415 W PETERSON AVE,
147,20DS75957L,2020-01-22,4201 S CALIFORNIA AVE,STRTSAN,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4201 S CALIFORNIA AVE,
148,20DS75964L,2020-01-22,4446 S GREENWOOD AVE,STRTSAN,50.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4446 S GREENWOOD AVE,
149,20DS75965L,2020-01-22,4454 S GREENWOOD AVE,STRTSAN,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4454 S GREENWOOD AVE,
150,20DS75969L,2020-01-22,4201 S ARTESIAN AVE,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4201 S ARTESIAN AVE,
151,20DS75973L,2020-01-22,4531 S GREENWOOD AVE,STRTSAN,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4531 S GREENWOOD AVE,
152,20DS75976L,2020-01-22,7701 S PHILLIPS AVE,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,7701 S PHILLIPS AVE,
153,20DS75978L,2020-01-21,2551 W PETERSON AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,2551 W PETERSON AVE,
154,20DS75979L,2020-01-21,7910 S MUSKEGON AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,7910 S MUSKEGON AVE,
155,20DS75981L,2020-01-21,2701 W POPE JOHN PAUL II DR,STRTSAN,500.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,2701 W POPE JOHN PAUL II DR,
156,20DS75985L,2020-01-21,1958 W 47TH ST,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,1958 W 47TH ST,
157,20DS75986L,2020-01-22,4949 S SEELEY AVE,STRTSAN,50.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4949 S SEELEY AVE,
158,20DS75992L,2020-01-22,2419 W POPE JOHN PAUL II DR,STRTSAN,50.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,2419 W POPE JOHN PAUL II DR,
159,20DS75994L,2020-01-21,4448 S WESTERN AVE,STRTSAN,150.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,4448 S WESTERN AVE,
160,20DS75994L,2020-01-21,4448 S WESTERN AVE,STRTSAN,300.0,2020,1,2020-01-21,2019-2020,Chicago,Illinois,4448 S WESTERN AVE,
161,20DS75995L,2020-01-22,2439 W POPE JOHN PAUL II DR,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,2439 W POPE JOHN PAUL II DR,
162,20DS76000L,2020-01-22,4959 S DAMEN AVE,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4959 S DAMEN AVE,
163,20DS76001L,2020-01-22,4534 S ROCKWELL ST,STRTSAN,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,4534 S ROCKWELL ST,
164,20DS76007L,2020-01-22,2036 W ESTES AVE,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,2036 W ESTES AVE,
165,20DS76024L,2020-01-22,7747 S PHILLIPS AVE,STRTSAN,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,7747 S PHILLIPS AVE,
166,20DS76026L,2020-01-22,1631 W MORSE AVE,STRTSAN,150.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,1631 W MORSE AVE,
167,20DS76027L,2020-01-22,5644 S WESTERN AVE,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,5644 S WESTERN AVE,
168,20DS76031L,2020-01-22,5941 S WOOD ST,STRTSAN,0.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,5941 S WOOD ST,
169,20DS76031L,2020-01-22,5941 S WOOD ST,STRTSAN,500.0,2020,1,2020-01-22,2019-2020,Chicago,Illinois,5941 S WOOD ST,
170,20DS76032L,2020-01-24,4504 S WOODLAWN AVE,STRTSAN,150.0,2020,1,2020-01-24,2019-2020,Chicago,Illinois,4504 S WOODLAWN AVE,
